"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009725","GO:0009725","response to hormone",442,0.826121574561878,1.46642404034344,1e-10,3.91e-07,3.34526315789474e-07,309,"tags=23%, list=7%, signal=23%","5743/2099/4843/760/367/10499/5468/4129/2932/5292/6256/890/2100/2908/836/5241/148/596/7124/590/1509/1432/150/842/5970/3569/207/4306/3725/5139/2805/847/4048/4846/8648/6714/5315/5594/3553/595/3586/7040/5579/5465/1026/2875/1277/4780/5595/2641/7442/2353/5578/6720/2155/4313/5319/2720/3692/5009/2475/6517/1906/5972/5313/1728/5447/4842/4790/8837/2064/6528/2890/3791/1956/5467/5111/5925/1508/4199/3643/7351/10768/5563/6696/3630/9518/387/6772/5894/3480/1385/8644/3481/11315/478/4311/1545/23038/1636"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",342,0.832926399260862,1.47700333348907,1.00100087038812e-08,1.95695670160878e-05,1.67430566636498e-05,275,"tags=22%, list=7%, signal=22%","5743/43/760/1800/10499/1128/1017/5468/1129/1131/154/2932/890/836/7124/1139/1509/6532/5970/207/7157/5139/1135/2805/1111/8648/6714/4988/5315/5594/3553/7040/5579/2875/4780/5595/2641/7442/2353/5578/3383/6720/3359/1499/7412/5319/598/2475/6517/1906/5313/4790/8837/2064/196/6528/60/2890/3791/1956/5925/3643/7351/10768/1132/1812/3630/840/9518/6772/7099/7052/5894/3480"
"GO:0007268","GO:0007268","chemical synaptic transmission",322,0.827251517078594,1.46466486743471,8.33695981007992e-08,6.41635454084551e-05,5.48961494973941e-05,176,"tags=12%, list=4%, signal=13%","5743/43/760/2554/1128/1129/6530/1131/154/2932/2908/6531/148/7124/590/1139/2891/150/6532/18/207/1135/5594/3553/5579/5595/7442/3156/5728/2902/3359/1499/627/116443/5327/1906/1728/60482/6347"
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling",322,0.827251517078594,1.46466486743471,8.33695981007992e-08,6.41635454084551e-05,5.48961494973941e-05,176,"tags=12%, list=4%, signal=13%","5743/43/760/2554/1128/1129/6530/1131/154/2932/2908/6531/148/7124/590/1139/2891/150/6532/18/207/1135/5594/3553/5579/5595/7442/3156/5728/2902/3359/1499/627/116443/5327/1906/1728/60482/6347"
"GO:0099536","GO:0099536","synaptic signaling",332,0.826555370492922,1.46462502713281,1.06440159066738e-07,6.41635454084551e-05,5.48961494973941e-05,176,"tags=12%, list=4%, signal=13%","5743/43/760/2554/1128/1129/6530/1131/154/2932/2908/6531/148/7124/590/1139/2891/150/6532/5970/18/207/1135/4988/5594/3553/5579/5595/7442/3156/5728/2902/3359/1499/627/116443/5327/1906/1728/60482/6347"
"GO:0099537","GO:0099537","trans-synaptic signaling",323,0.826903974135429,1.46440055497804,1.14870797406441e-07,6.41635454084551e-05,5.48961494973941e-05,176,"tags=12%, list=4%, signal=13%","5743/43/760/2554/1128/1129/6530/1131/154/2932/2908/6531/148/7124/590/1139/2891/150/6532/18/207/1135/5594/3553/5579/5595/7442/3156/5728/2902/3359/1499/627/116443/5327/1906/1728/60482/6347"
"GO:0033993","GO:0033993","response to lipid",436,0.803835213582747,1.42695890708278,4.98280333474896e-08,6.41635454084551e-05,5.48961494973941e-05,297,"tags=21%, list=7%, signal=22%","5743/2099/4843/367/10499/5468/4129/2932/5292/6256/890/2100/2908/836/5241/596/7124/590/1432/6532/842/5970/3569/207/4306/3725/5139/2805/3576/847/4846/8648/6714/841/5594/1543/4318/3553/1019/3586/7040/5579/5465/1026/1277/5595/2353/4792/5578/6720/2155/4313/1499/7412/2720/4353/1991/4023/2950/1906/5972/1728/6347/4842/7299/4790/8837/5599/4317/196/6528/5054/2890/1956/5467/5111/356/7351/5563/6696/840/942/387/4057/7099/3480/1385/6376/8644/331/11315/478"
"GO:0060341","GO:0060341","regulation of cellular localization",326,0.808071395320836,1.43155954345911,9.32647675546793e-07,0.000455831551423495,0.000389993988537856,252,"tags=17%, list=6%, signal=17%","5743/43/4843/367/1128/5468/1131/2932/596/7124/1509/581/1432/150/18/3569/207/7422/6714/4988/5594/3553/240/7040/5579/5595/2641/152/3156/5578/2902/6720/3458/1499/5319/2746/4133/598/2475/627/1906/2752/4842/983/3091/27032/5599/2064/60/1956/5467/2147/7351/5563/3630"
"GO:0008284","GO:0008284","positive regulation of cell population proliferation",365,0.804334018970361,1.42706669564339,1.32623270419688e-06,0.000576174430378865,0.000492955267127213,291,"tags=20%, list=7%, signal=21%","1803/5743/2099/367/1017/5292/146/890/6331/596/7124/1139/1432/150/5970/3569/207/3725/3162/7422/6714/4609/5594/4318/3553/1019/595/3586/7040/1026/5595/5578/994/5728/3458/4860/4313/1499/7412/5319/3565/1991/598/3558/1906/891/2152/2335/650/983/3091/8837/2064/3037/60/3791/332/1956/5467/3105/2147/356/3643/3630/942/6472/4057/6772/7099/3480/6376/10673/8644/3481"
"GO:0071495","GO:0071495","cellular response to endogenous stimulus",484,0.773348425493501,1.37146771548166,2.32162508522875e-06,0.000907755408324443,0.000776644686405998,317,"tags=20%, list=8%, signal=21%","2099/760/367/10499/5468/2932/5292/6256/890/2100/2908/836/5241/1509/1432/150/842/5970/207/4306/3725/7157/5139/2805/3576/7422/847/8648/6714/5315/5594/3553/3586/7040/5579/5465/2875/1277/7498/4780/5595/2641/7442/2353/5578/6720/1499/7412/5319/3565/2475/627/6517/1906/5972/5313/650/6347/4842/3091/4790/8837/2064/3037/6528/4985/2890/3791/1956/5467/5925/1508/3643/7351/10768/5563/3630/9518/387/3309/6772/7099/5894/3480/1385/8644/331/3481/11315/478/1545/59/23038/1636/317/3082/2534"
"GO:0048545","GO:0048545","response to steroid hormone",159,0.861849817054572,1.52578974650371,2.90632104441509e-06,0.000946976273638585,0.00081020072624133,130,"tags=19%, list=3%, signal=20%","5743/2099/367/10499/4129/6256/2100/2908/836/5241/596/7124/590/842/5970/3569/4306/3725/5139/2805/8648/6714/5594/3586/7040/5465/1026/1277/2353/6720/2720"
"GO:0032880","GO:0032880","regulation of protein localization",293,0.815824934143839,1.44232280894731,2.83753319315995e-06,0.000946976273638585,0.00081020072624133,324,"tags=20%, list=8%, signal=20%","5743/43/4843/367/1128/5468/1131/2932/596/7124/1509/1432/150/18/3569/207/7422/6714/4988/3553/240/7040/5579/2641/152/3156/5578/6720/3458/1499/5319/2746/4133/598/2475/627/1906/2752/983/3091/27032/5599/2064/60/1956/5467/2147/7351/5563/3630/64175/7099/11315/9520/288/6721/2534/351/572"
"GO:0032870","GO:0032870","cellular response to hormone stimulus",302,0.814979347027352,1.44098720336202,3.69839908206845e-06,0.00111236464699136,0.0009517013994181,309,"tags=23%, list=7%, signal=22%","2099/760/367/10499/5468/2932/5292/6256/890/2100/2908/5241/1509/150/842/5970/207/4306/5139/2805/8648/6714/5315/5594/3553/7040/5579/5465/2875/4780/5595/2641/2353/5578/6720/5319/2475/6517/1906/5972/5313/4790/8837/2064/6528/2890/3791/1956/5467/5925/1508/3643/7351/10768/5563/3630/9518/387/6772/5894/3480/8644/3481/11315/478/1545/23038/1636"
"GO:0071396","GO:0071396","cellular response to lipid",265,0.825421387423532,1.45686685373103,4.04403422392492e-06,0.00112944098682475,0.000966311335611534,309,"tags=25%, list=7%, signal=25%","5743/2099/4843/367/2932/5292/6256/890/2100/2908/5241/7124/1432/6532/842/5970/3569/207/4306/5139/3576/4846/8648/6714/5594/4318/3553/1019/3586/7040/5465/1277/5595/2353/4792/5578/6720/4313/4023/2950/1906/6347/4790/8837/5599/4317/196/6528/5054/1956/5467/5563/6696/840/942/387/4057/7099/3480/1385/6376/8644/11315/478/1545/1636"
"GO:0070482","GO:0070482","response to oxygen levels",173,0.848225587354725,1.49834188586063,1.02120676445665e-05,0.00266194563268366,0.00227747024381981,239,"tags=25%, list=6%, signal=24%","1803/5743/4843/5468/890/836/596/7124/1139/6532/842/18/207/7157/5328/7422/847/6714/4609/1543/7040/5465/1026/1277/4780/2353/2155/4313/7412/2475/6517/5327/1906/5313/650/4842/3091/8837/4985/5467/355/10449/7351"
"GO:0141193","GO:0141193","nuclear receptor-mediated signaling pathway",57,0.923052238434501,1.63916024526019,2.10834872570101e-05,0.00439622592796926,0.00376126154235733,94,"tags=25%, list=2%, signal=24%","2099/367/10499/5468/5292/6256/2100/2908/5241/4306/8648/6714/5594/5465"
"GO:0036293","GO:0036293","response to decreased oxygen levels",164,0.850685265469922,1.50418649358697,1.80117696343697e-05,0.00439622592796926,0.00376126154235733,239,"tags=24%, list=6%, signal=24%","1803/5743/4843/5468/890/836/596/7124/1139/6532/842/18/207/7157/5328/7422/847/6714/4609/1543/7040/5465/4780/2353/2155/4313/7412/2475/6517/5327/1906/5313/650/4842/3091/8837/4985/5467/10449/7351"
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission",206,0.830681494577437,1.46667041100766,2.13627346883417e-05,0.00439622592796926,0.00376126154235733,155,"tags=12%, list=4%, signal=12%","5743/43/760/1128/1129/154/2932/148/7124/590/1139/2891/150/6532/5594/3553/5579/5595/3156/5728/2902/627/116443/5327/1906"
"GO:0009628","GO:0009628","response to abiotic stimulus",468,0.769369683903089,1.36500765853307,1.99664980950932e-05,0.00439622592796926,0.00376126154235733,365,"tags=22%, list=9%, signal=23%","1803/5743/4843/5468/154/2932/890/836/596/7124/1139/153/581/1432/231/6532/842/5970/18/207/7157/3162/5328/7422/1111/847/4846/6714/841/4609/1543/4318/3553/595/6647/7040/5465/1026/1277/4780/5595/7442/2353/4792/3156/5728/2902/2155/4313/1499/7412/4353/1991/598/5424/2475/6517/5327/6010/4312/1906/5313/1116/650/1728/4842/7299/8989/3091/4790/8837/5599/4985/2890/1956/5467/5111/355/10449/7351/1812/840/6772/7099/5894/6240/3480/2596/4311/9520/1636/317/2534/351/572/8795/4314/2168/1520/477/3552/2068/150094"
"GO:0070201","GO:0070201","regulation of establishment of protein localization",201,0.825311191785019,1.45727519066623,2.72269402907387e-05,0.00532286682683941,0.00455406401284039,324,"tags=23%, list=8%, signal=22%","5743/43/4843/1128/5468/1131/2932/7124/1509/1432/150/18/3569/6714/4988/3553/240/7040/5579/2641/152/3156/5578/6720/3458/5319/2746/983/3091/27032/5599/2064/1956/5467/2147/7351/3630/64175/7099/11315/9520/288/6721/2534/351/572"
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling",207,0.830198066077432,1.46569430540081,3.00276779217528e-05,0.00559086765114541,0.00478335641279852,155,"tags=12%, list=4%, signal=12%","5743/43/760/1128/1129/154/2932/148/7124/590/1139/2891/150/6532/5594/3553/5579/5595/3156/5728/2902/627/116443/5327/1906"
"GO:0009755","GO:0009755","hormone-mediated signaling pathway",82,0.894504446649111,1.58450274022372,4.01301909750422e-05,0.0056038945254434,0.00479450176386031,94,"tags=18%, list=2%, signal=18%","2099/367/5468/5292/6256/2100/2908/5241/5970/4306/5139/8648/6714/5594/5465"
"GO:0001666","GO:0001666","response to hypoxia",160,0.850518401484893,1.50541382851797,3.95689387760141e-05,0.0056038945254434,0.00479450176386031,239,"tags=24%, list=6%, signal=24%","1803/5743/4843/5468/890/836/596/7124/1139/6532/842/18/7157/5328/7422/847/6714/4609/1543/7040/5465/4780/2353/2155/4313/7412/2475/6517/5327/1906/5313/650/4842/3091/8837/4985/5467/10449/7351"
"GO:0051223","GO:0051223","regulation of protein transport",171,0.839899229162337,1.4835019901286,3.62014286022123e-05,0.0056038945254434,0.00479450176386031,129,"tags=15%, list=3%, signal=15%","5743/43/4843/1128/5468/1131/2932/7124/1432/150/18/3569/6714/4988/3553/240/7040/5579/2641/152/3156/5578/6720/3458/5319/2746"
"GO:0009410","GO:0009410","response to xenobiotic stimulus",220,0.821018992439059,1.44957275269699,3.22726748699962e-05,0.0056038945254434,0.00479450176386031,250,"tags=26%, list=6%, signal=26%","5743/4843/1800/6530/4129/6531/836/148/596/7124/590/6532/5970/18/3757/7157/5139/847/6714/4609/1543/3553/1019/595/6647/3586/7040/5579/1026/1277/1576/4780/1544/2353/2902/6720/4860/4313/1499/5009/2950/1906/5972/217/1728/5447/4842/8989/983/196/2890/1956/5111/5925/5563/5243/1812"
"GO:0008015","GO:0008015","blood circulation",226,0.819679731985925,1.44789192233644,3.78851830035431e-05,0.0056038945254434,0.00479450176386031,157,"tags=14%, list=4%, signal=14%","5743/4843/367/5742/5468/1129/154/146/147/6331/148/7124/153/150/6532/808/18/3757/5139/7422/4846/6714/6647/7040/5465/152/7442/6720/4313/2475/1906/5972"
"GO:0051050","GO:0051050","positive regulation of transport",340,0.782783176627488,1.38804854170274,3.73239313749213e-05,0.0056038945254434,0.00479450176386031,252,"tags=16%, list=6%, signal=16%","5743/43/760/1128/5468/1131/2932/6256/6331/7124/581/1432/150/6532/808/18/3757/207/7422/6714/3553/6647/7040/5579/4780/2641/5444/4792/5578/2902/3458/5319/2746/3565/4133/1906/650/6347/4842/983/3091/27032/5054/60/1956/5467/2147/356/3643/10768/1812/6696/3630"
"GO:0051094","GO:0051094","positive regulation of developmental process",464,0.758721161214195,1.34692394574805,3.95689387760141e-05,0.0056038945254434,0.00479450176386031,324,"tags=19%, list=8%, signal=20%","5743/367/10499/5468/154/2932/5292/6256/6531/596/7124/1139/581/1432/5970/3569/207/5139/3162/3576/7422/4846/8648/6714/4988/841/5315/4609/3553/595/240/3586/7040/5579/1277/4780/152/2353/5578/1491/3458/4860/1499/3565/4023/2475/627/3558/1906/2152/1116/2335/650/983/3091/3135/4790/5054/60/3791/1956/5467/5320/5925/3643/338/3630/10507/942/9518/387/4057/6772/7052/3480/1385/6376/1990/10673/1215/3481/4311/1545/1636/728/3082/351/64218/572"
"GO:0043066","GO:0043066","negative regulation of apoptotic process",355,0.781188347032581,1.38599356417849,4.96714943970179e-05,0.00669708769283931,0.00572980069668686,324,"tags=22%, list=8%, signal=22%","5743/2099/367/1800/2932/5292/596/7124/581/231/5970/3569/207/7157/5139/3162/7422/847/4846/6714/4609/4318/3553/595/6647/3586/5465/1026/4780/2641/5578/3383/1491/1499/4353/3565/598/2475/10891/627/3558/2950/1906/1728/6347/983/3091/4790/8837/5599/2064/5054/3791/332/1956/5467/355/5925/10449/7351/5563/3630/10507/387/3309/16/4057/5894/3480/1385/6376/331/11315/5716/959/3082/2534/572"
"GO:0003013","GO:0003013","circulatory system process",266,0.80118157945936,1.41362697329011,5.8095838185476e-05,0.00746985036971074,0.00639095018843471,494,"tags=31%, list=12%, signal=29%","5743/4843/367/5742/5468/1129/154/146/147/6331/148/7124/153/150/6532/808/18/3757/5139/7422/4846/6714/6647/7040/5465/152/7442/6720/4313/2475/6517/1906/5972/8884/4842/1401/6528/1956/5467/3643/5243/1812/3630/2028/387/6772/1215/478/59/1636/2534/351/287/488/183/6584/4973/477/487/857/480/489/2697/354/27302/3627/5290/23446/1244/476/654/6649/6648/3792/948/23428/5294/100/6339/10396/6582/6338"
"GO:0040012","GO:0040012","regulation of locomotion",402,0.764865842772657,1.35585674952899,5.92238776115174e-05,0.00746985036971074,0.00639095018843471,482,"tags=26%, list=12%, signal=25%","1803/5743/1800/1128/5468/2932/596/7124/150/3569/207/3162/5328/3576/7422/4846/6714/841/5594/4318/3553/7040/1277/4780/5595/5578/3383/5728/2155/3458/4313/3565/1991/2475/1906/2152/2335/650/6347/2752/5340/3091/3037/5054/2890/50506/3791/1956/5467/3643/1132/1812/3630/10507/5879/9518/387/3309/7099/5894/3480/6376/1545/59/1636/728/3082/351/64218/223117/4314/11221/183/6403/6401/506/3552/10509/8482/857/54437/80031/2697/27302/3627/57556/388/10505/54910/958/10500/9037/1845/7784/6648/4638/104/5291/9723/5294/100/10396/6405"
"GO:0043069","GO:0043069","negative regulation of programmed cell death",365,0.777682091970543,1.37978027420762,8.29128147995031e-05,0.0101309095583143,0.00866766202081647,324,"tags=22%, list=8%, signal=22%","5743/2099/367/1800/2932/5292/596/7124/581/231/5970/3569/207/7157/5139/3162/7422/847/4846/6714/841/4609/4318/3553/595/6647/3586/5465/1026/4780/2641/5578/3383/1491/1499/4353/3565/598/2475/10891/627/3558/2950/1906/1728/6347/983/3091/4790/8837/5599/2064/5054/3791/332/1956/5467/355/5925/10449/7351/5563/3630/10507/387/3309/16/4057/5894/3480/1385/6376/331/11315/5716/959/3082/2534/572"
"GO:0044703","GO:0044703","multi-organism reproductive process",92,0.872232766694184,1.54847467816337,0.000106601865652085,0.0119089512771329,0.0101888941065361,125,"tags=17%, list=3%, signal=17%","5743/2099/367/5241/596/150/6532/207/7422/1543/4318/3553/6647/7040/2353/4313"
