"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",349,0.856307726446457,1.42935299005417,1e-10,1.595e-07,1.37684210526316e-07,316,"tags=36%, list=11%, signal=37%","5743/43/760/4843/2099/367/1128/10499/1129/1131/1800/5468/1017/6256/154/2908/890/2932/5292/2100/1139/7124/1509/6532/1135/150/842/3569/7157/5139/5970/3576/3553/8648/7442/847/2805/1432/5594/4846/6714/4792/2353/4988/4780/3586/207/5319/5465/5315/2641/2875/5595/4318/1019/1277/1132/5579/4353/4313/6517/4023/8989/5925/7351/1728/6647/6347/983/5054/196/3359/4317/7040/8644/2168/2950/2064/5563/1906/3630/9518/5111/3091/5467/6514/8837/4057/5578/3643/6772/4790/5313/60/478/6720/4257/2890/942/999/567/4602/10768/4314/216/7412/5562/3606/840/2534/3481/1499/1545/57016/1312/2729/7099/5621/3791/695/3651/1956/5599/6470/4915/3383"
"GO:1901700","GO:1901700","response to oxygen-containing compound",495,0.842075296857029,1.39928894102994,1e-10,1.595e-07,1.37684210526316e-07,337,"tags=34%, list=12%, signal=36%","5743/43/760/4843/2099/367/1128/10499/1129/1131/1800/5468/1017/6256/4129/154/2908/890/6531/2932/5292/2100/836/590/596/1139/7124/1509/6532/1135/150/842/3569/18/4048/7157/5139/5970/3576/3553/8648/7442/3162/847/2805/1432/5594/4846/6714/1543/4792/2353/4988/4780/3586/207/5319/5465/5315/2806/2641/2875/5595/4318/1019/1277/3558/598/2902/1026/4985/1132/5579/841/4353/4313/6517/4023/2720/8989/5925/7351/1728/6647/6347/983/5054/5009/196/3359/4317/3692/7040/8644/2168/2950/356/2064/5563/8942/1906/3630/9518/116443/5111/5972/3091/5467/6514/4842/8837/4057/5578/3643/6772/4790/331/5313/1991/60/478/4199/6720/4257/2890/50506/942/999/567/4602/10768/4314/216/7412/477/5562/3606/840/2534/3481/1499/578/1545/476/57016/1312/7299/2729/7099/7352/5621/3791/695/3651/1956/5599/6470/4915/4435/3383/2730/6403/2033/6528/351/6559/2752/6319"
"GO:0007267","GO:0007267","cell-cell signaling",303,0.851798359467935,1.42735707882071,9.10589205168643e-09,9.68259854829324e-06,8.35825038849534e-06,186,"tags=21%, list=6%, signal=22%","5743/43/2554/760/4843/367/1128/1129/1131/6530/5468/4129/154/2908/146/147/6331/6531/2932/148/5241/2100/590/1139/7124/6532/1135/150/3569/18/2891/5970/3553/7442/152/5594/4988/207/2641/240/5595/3558/2902/1132/5728/5579/2746/627/7351/1728/3156/6347/3359/2028/356/1906/3630/3458/9518/116443/5972/3091/5467/6514"
"GO:0009719","GO:0009719","response to endogenous stimulus",399,0.824773520130003,1.37484297220491,1.57057754368517e-08,1.00202847287114e-05,8.64974916690612e-06,233,"tags=24%, list=8%, signal=26%","5743/760/4843/2099/367/10499/5468/6256/4129/2908/890/2932/148/5241/5292/2100/836/590/596/7124/1509/4306/150/842/3569/4048/7157/5139/5970/3576/3553/8648/7442/847/2805/1432/595/5594/4846/6714/2353/4780/3586/207/5319/5465/5315/7422/3725/2641/2875/5595/4609/7498/1277/1026/4985/5579/4313/6517/627/4023/2720/5925/7351/1728/6347/3565/5009/3692/7040/8644/356/2064/5563/1906/3630/9518/5111/5972/3091/5467/4842/1520/8837/3309/5578/3643/5447/6772/4790/331/5313/478/4199/6720/2890"
"GO:0042127","GO:0042127","regulation of cell population proliferation",398,0.824314844237156,1.3736777696355,1.54461818022764e-08,1.00202847287114e-05,8.64974916690612e-06,314,"tags=28%, list=11%, signal=29%","1803/5743/4843/2099/5742/367/1128/5468/1017/146/890/6331/148/5241/5292/836/590/596/1139/7124/6532/150/581/3569/7157/5970/3576/3553/5328/3162/1432/595/5594/4846/6714/4792/4988/3586/207/5319/7422/3725/240/5595/4609/4318/1019/7498/3558/598/1026/5728/4313/891/5925/994/4860/6347/983/3565/196/5340/7040/8644/2950/356/1111/2064/1906/3630/3458/2152/383/3091/5467/332/1487/8837/4057/5578/1401/3643/6472/6772/331/1991/3135/60/3105/942/567/4602/7412/5562/3606/339221/2335/3481/1499/578/1545/1029/7099/5621/3791/695/10891/3651/1956/2670/3037/4915/4435"
"GO:0009725","GO:0009725","response to hormone",262,0.857761423164878,1.43949688696285,2.5829974286494e-08,1.22454594678471e-05,1.05705731621475e-05,233,"tags=32%, list=8%, signal=32%","5743/760/4843/2099/367/10499/5468/6256/4129/2908/890/2932/148/5241/5292/2100/836/590/596/7124/1509/4306/150/842/3569/4048/5139/5970/3553/8648/7442/847/2805/1432/595/5594/4846/6714/2353/4780/3586/207/5319/5465/5315/3725/2641/2875/5595/1277/1026/5579/4313/6517/2720/5925/7351/1728/5009/3692/7040/8644/2064/5563/1906/3630/9518/5111/5972/5467/4842/1520/8837/5578/3643/5447/6772/4790/5313/478/4199/6720/2890"
"GO:0008283","GO:0008283","cell population proliferation",459,0.812473689185912,1.35010965919344,2.68709141927678e-08,1.22454594678471e-05,1.05705731621475e-05,314,"tags=26%, list=11%, signal=28%","1803/5743/4843/2099/5742/367/1128/5468/1017/146/890/6331/148/5241/5292/836/590/596/1139/7124/6532/150/581/3569/7157/5970/3576/3553/5328/3162/1432/595/5594/4846/6714/4792/2353/4988/3586/207/5319/7422/3725/240/5595/4609/4318/1019/7498/3558/598/1026/5728/4313/891/6517/5925/994/4860/5130/6347/983/3565/196/2028/5340/7040/8644/2950/356/1111/2064/1906/3630/3458/2152/383/3091/5467/332/1487/8837/4057/5578/1401/3643/6472/6772/331/1991/3135/60/3105/942/567/4602/7412/5562/3606/339221/1649/2335/2534/3481/1499/578/1545/1029/7299/7099/5621/6240/3791/695/10891/3651/1956/2670/3037/4915/4435"
"GO:1901698","GO:1901698","response to nitrogen compound",309,0.839952788867106,1.40476220063391,8.54669191676682e-08,3.40799340181077e-05,2.94186132292921e-05,316,"tags=36%, list=11%, signal=36%","5743/43/760/1128/10499/1129/1131/1800/5468/1017/154/890/6531/2932/836/590/1139/7124/1509/6532/1135/150/3569/18/4048/7157/5139/5970/3553/8648/7442/847/2805/1432/5594/6714/4792/2353/4988/4780/3586/207/5319/5465/5315/2641/2875/5595/4318/1277/3558/598/2902/1132/5579/4313/6517/4023/5925/7351/1728/983/5009/196/3359/3692/7040/1111/2064/8942/1906/3630/9518/5111/5972/8837/3309/5578/3643/6772/4790/5313/60/478/6720/2890/50506/999/10768/4314/7412/5562/840/2534/3481/1499/1545/1312/7299/2729/7099/7352/5621/3791/3651/1956/6470/4915/4435/3383"
"GO:0099536","GO:0099536","synaptic signaling",171,0.868295381324857,1.46528262487637,1.30912026310925e-06,0.000464010404368724,0.000400544866467111,135,"tags=21%, list=5%, signal=21%","5743/43/2554/760/1128/1129/1131/6530/154/2908/6531/2932/148/590/1139/7124/6532/1135/150/18/2891/5970/3553/7442/5594/4988/207/5595/2902/1132/5728/5579/627/1728/3156/6347"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",188,0.863732877607806,1.45806215327564,1.53158220684321e-06,0.000488574723982984,0.00042174937401072,331,"tags=45%, list=11%, signal=42%","5743/43/760/1128/10499/1129/1131/1800/5468/1017/154/890/2932/836/1139/7124/1509/6532/1135/7157/5139/5970/3553/8648/7442/2805/5594/6714/2353/4988/4780/207/5319/5315/2641/2875/5595/598/1132/5579/6517/5925/7351/196/3359/7040/1111/2064/1906/3630/9518/8837/5578/3643/6772/4790/5313/60/478/6720/2890/999/10768/4314/7412/5562/840/2534/3481/1499/1545/1312/2729/7099/5621/3791/1956/6470/4915/3383/2730/2033/6528/351"
