"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",497,0.863956320909413,1.34957739027942,1e-10,3.807e-07,3.31263157894737e-07,277,"tags=25%, list=7%, signal=26%","5743/2099/760/367/4843/43/5468/10499/1017/890/2932/5292/1800/2100/1128/154/1432/6256/1131/1129/2908/7124/5139/6532/8648/5970/150/842/1509/3569/3791/7157/1139/207/3553/5594/4318/3576/4780/2353/6647/3586/4846/1135/7040/4790/1019/6714/4313/847/4988/5595/4792/2805/3383/3091/4353/5579/983/5578/3359/196/6347/6517/5599/5563/5465/7442/3643/8644/1545/5315/5925/2950/1277/8837/3630/1728/6772/1956/2641/2875/6720/6774/7412/5562/1906/3552/60/2475/2730/5294/23411/3627/4057/5319/6528/5054/5313/57016/3481/6257/5467/1499/183/2697/3480/1636/834/7099/5290/351/6376/8989/9518/1385/2729/4314/1645/5105/478/5530/5609/2534"
"GO:0009725","GO:0009725","response to hormone",363,0.875190997034395,1.37328940616004,1.50333441061286e-09,2.86159705060158e-06,2.4899965211572e-06,273,"tags=27%, list=7%, signal=28%","5743/2099/760/367/4843/5468/10499/890/2932/5292/2100/1432/6256/4129/2908/836/7124/5139/148/596/590/5241/8648/5970/150/842/1509/3569/2155/3791/3725/4306/207/3553/5594/595/4780/2353/3586/4846/7040/4790/6714/4313/847/5595/2805/4048/1026/5579/5578/5447/6517/5563/5465/3692/7442/3643/8644/1545/5315/5925/1277/8837/2720/3630/1728/6772/1956/2641/2875/6720/6774/4842/5562/1906/2475/5972/2730/23411/5319/6528/5313/3481/6257/5009/5467/183/3480/1636/5290/9518/1385/2729/1645/5105/1514/478/5530"
"GO:1901698","GO:1901698","response to nitrogen compound",447,0.850297913871816,1.33141015118756,6.2396437292949e-08,7.91810789247523e-05,6.88988028634774e-05,277,"tags=25%, list=7%, signal=26%","5743/760/43/5468/10499/1017/890/2932/1800/1128/154/1432/1111/1131/1129/836/7124/6531/5139/590/6532/8648/5970/150/1509/3569/2155/3791/7157/1139/207/3553/5594/4318/4780/2353/18/3586/1135/7040/4790/6714/4313/847/4988/5595/4792/2805/3558/3383/4048/598/5579/983/5578/3359/196/6517/5465/3692/7442/3643/2902/1545/5315/5925/1277/8837/3630/1728/6772/1956/2641/2875/6720/6774/7412/5562/50506/7299/1906/60/2475/5972/2730/5294/23411/5319/6528/5313/3481/5009/1499/183/2697/3480/1636/7099/3309/2944/8942/5290/351/9518/2946/728/1385/2729/4314/5105/478/5530/2534"
"GO:0033993","GO:0033993","response to lipid",391,0.858022565215105,1.34551795002266,1.19086123351171e-07,0.000113340217899477,9.86221132068773e-05,275,"tags=25%, list=7%, signal=26%","5743/2099/367/4843/5468/10499/890/2932/5292/2100/1432/6256/4129/2908/836/7124/5139/596/590/6532/5241/8648/5970/842/3569/2155/3725/4306/207/3553/5594/4318/3576/2353/3586/4846/1543/7040/841/4790/1019/6714/4313/847/5595/4792/2805/4353/1026/5579/5578/196/6347/5599/5563/5465/8644/6401/1545/2950/1277/8837/2720/1728/1956/6720/6774/4842/7412/5562/356/7299/1588/1906/3552/5972/23411/3627/4057/6528/5054/331/6257/5467/1499/3480/1636/834/7099/11221/5290/6376/1385/4314/1645/5105/478/5609"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",290,0.869191734111577,1.37022453741877,1.54916519182667e-07,0.000117953437705683,0.000102636270709022,277,"tags=29%, list=7%, signal=29%","5743/760/43/5468/10499/1017/890/2932/1800/1128/154/1111/1131/1129/836/7124/5139/6532/8648/5970/1509/3791/7157/1139/207/3553/5594/4780/2353/1135/7040/4790/6714/4988/5595/2805/3383/598/5579/5578/3359/196/6517/7442/3643/1545/5315/5925/8837/3630/6772/1956/2641/2875/6720/6774/7412/5562/1906/60/2475/2730/5294/23411/5319/6528/5313/3481/1499/183/2697/3480/1636/7099/5290/351/9518/2946/2729/4314/5105/478/5530/2534"
"GO:0071495","GO:0071495","cellular response to endogenous stimulus",440,0.846917690942165,1.32651493895183,2.85946056384765e-07,0.000176248622357312,0.000153361374354295,281,"tags=23%, list=7%, signal=24%","2099/760/367/5468/10499/890/2932/5292/2100/1432/6256/2908/836/5139/5241/8648/5970/150/842/1509/3791/3725/7157/4306/207/3553/5594/7422/3576/4780/2353/3586/7040/4790/6714/847/5595/2805/3091/5579/5578/7498/6347/6517/3565/5563/5465/7442/3643/8644/1545/5315/5925/4985/1277/8837/3630/6772/3037/1956/2641/2875/6720/6774/4842/7412/5562/1906/627/2475/5291/59/5972/2730/23411/5319/6528/5313/331/650/3481/6257/5467/1499/183/3480/1636/317/7099/3309/5290/9518/1385/2729/1645/5105/1514/478/5530/2534/5293"
"GO:0007267","GO:0007267","cell-cell signaling",439,0.842186769681101,1.31901694894705,3.24071540977459e-07,0.000176248622357312,0.000153361374354295,241,"tags=16%, list=6%, signal=17%","5743/760/367/4843/43/5468/2554/2932/2100/1128/154/6530/4129/6331/1131/1129/2908/7124/6531/146/148/590/147/6532/5241/5970/150/3569/2891/1139/207/3553/5594/18/1135/240/4988/5595/3558/3458/3091/5579/152/5578/3359/6347/7442/5728/3156/2902/3630/1728/1956/2641/6720/356/1588/1906/627/5327/3552/5972/3627/650/5467/2746/1499/183/60482/2697/1636/116443"
"GO:0071396","GO:0071396","cellular response to lipid",254,0.872366907604099,1.37489448812605,1.65136955838125e-06,0.000648220562378343,0.000564044104296696,275,"tags=27%, list=7%, signal=27%","5743/2099/367/4843/890/2932/5292/2100/1432/6256/2908/7124/5139/6532/5241/8648/5970/842/3569/4306/207/3553/5594/4318/3576/2353/3586/4846/7040/4790/1019/6714/4313/5595/4792/5578/196/6347/5599/5563/5465/8644/1545/2950/1277/8837/1956/6720/5562/1906/3552/23411/3627/4057/6528/5054/6257/5467/3480/1636/834/7099/6376/1385/4314/1645/5105/478/5609"
"GO:0032870","GO:0032870","cellular response to hormone stimulus",247,0.871495778603397,1.37303402719477,1.66848204394559e-06,0.000648220562378343,0.000564044104296696,273,"tags=29%, list=7%, signal=29%","2099/760/367/5468/10499/890/2932/5292/2100/6256/2908/5139/5241/8648/5970/150/842/1509/3791/4306/207/3553/5594/4780/2353/7040/4790/6714/5595/2805/5579/5578/6517/5563/5465/3643/8644/1545/5315/5925/8837/3630/6772/1956/2641/2875/6720/6774/5562/1906/2475/5972/2730/23411/5319/6528/5313/3481/6257/5467/183/3480/1636/5290/9518/2729/1645/5105/1514/478/5530"
"GO:0008284","GO:0008284","positive regulation of cell population proliferation",319,0.857276614211095,1.34981696224887,1.70270701964366e-06,0.000648220562378343,0.000564044104296696,304,"tags=27%, list=7%, signal=27%","5743/1803/2099/367/1017/890/5292/1432/6331/7124/146/596/5970/150/3569/3791/3725/1139/3162/207/3553/5594/7422/4318/595/3586/7040/1019/6714/4313/5595/3558/4609/3458/598/3091/1026/983/5578/891/3565/5728/3643/8644/2152/8837/332/3630/6772/3037/1956/2335/6774/7412/5562/356/1906/3552/4953/60/4860/994/23411/3627/4057/5319/3105/650/3481/1950/5467/1499/183/2697/3480/7099/5290/6376/728/5530/959/5293/2065/3741/2064/860/1869"
"GO:0060341","GO:0060341","regulation of cellular localization",309,0.847901152984564,1.33768954049858,1.21571957830383e-05,0.00420749494054791,0.00366111915112169,252,"tags=19%, list=6%, signal=20%","5743/367/4843/43/5468/2932/1128/1432/1131/7124/596/581/150/1509/3569/207/3553/5594/7422/18/7040/240/6714/4988/5595/3458/598/3091/5579/983/152/5578/5599/5563/5569/3156/2902/3630/1956/2641/6720/4842/5562/1906/627/3552/60/2475/4133/5319/9520/1950/1029/5467/2746/1499/27032/7099/5290/351"
"GO:0032880","GO:0032880","regulation of protein localization",279,0.854580086104151,1.34841987722567,1.71740300959495e-05,0.00492575138632367,0.00428610443718927,252,"tags=20%, list=6%, signal=20%","5743/367/4843/43/5468/2932/1128/1432/1131/7124/596/150/1509/3569/207/3553/7422/18/7040/240/6714/4988/3458/598/3091/5579/983/152/5578/5599/5563/5569/3156/3630/1956/2641/6720/5562/1906/627/3552/60/2475/4133/5319/9520/1950/1029/5467/2746/1499/27032/7099/5290/351"
