"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007267","GO:0007267","cell-cell signaling",324,0.843184730752462,1.55604069292152,1e-10,6.766e-08,5.45894736842105e-08,158,"tags=17%, list=5%, signal=18%","5743/43/760/367/4843/2554/1128/6530/1129/5468/1131/2932/154/4129/2100/147/6531/6331/146/148/2908/6532/590/7124/5241/150/5970/152/1135/2891/207/3569/5594/3553/151/5595/1812/240/4988/3558/1728/6347/1139/5578/3156/18/3091/3458/7442/3552/5579/3630/5894/5728/1956/3359"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",428,0.839342538710144,1.54241450031755,1e-10,6.766e-08,5.45894736842105e-08,238,"tags=27%, list=8%, signal=29%","5743/43/760/2099/367/4843/1128/1017/10499/1129/5468/1800/1131/890/2932/154/2100/6256/1432/5292/2908/6532/7124/150/5970/842/1135/847/207/8648/3576/3383/3569/2353/4792/5139/5594/1509/7157/3553/4790/4846/7040/3791/5595/1812/6647/6774/4988/2950/3586/1728/6347/5465/4780/1139/5578/5319/4318/6714/3091/983/8644/7412/8989/1019/4353/4313/7442/3552/5579/2875/3630/6772/5894/653361/2475/7099/1645/1956/6517/3359/8837/5599/5925/5315/1277/4314/2805/196/5054/4023/23411/942/1499/572/3643/5290/4088/5294/351/2064/1080/142/857/11200/3480/4317/6720/6648/5313/2729/5111/941/3949/7226"
"GO:0009725","GO:0009725","response to hormone",342,0.827739280147128,1.52854088331899,1e-10,6.766e-08,5.45894736842105e-08,230,"tags=25%, list=8%, signal=27%","5743/760/2099/367/4843/10499/5468/890/2932/4129/2100/6256/1432/5292/148/836/2908/590/7124/5241/596/150/5970/3725/842/847/207/8648/3569/2353/5139/5594/1509/3553/4306/4790/4846/4048/1026/7040/3791/5595/595/6774/3586/1728/5465/5447/4780/5578/5319/3692/6714/8644/2155/4313/7442/5579/2875/3630/6772/5894/2475/1645/1956/6517/8837/5925/5315/1277/2805/2720/4199/23411/3643/1508/5290/4088/210/2064/142/857/3480/6720/5313/2729/5111"
"GO:1901698","GO:1901698","response to nitrogen compound",377,0.825353556080859,1.52087015513989,1e-10,6.766e-08,5.45894736842105e-08,238,"tags=27%, list=8%, signal=29%","5743/43/760/1128/1017/10499/1129/5468/1800/1131/890/2932/154/1432/6531/836/6532/590/7124/1111/150/5970/1135/847/207/8648/3383/3569/2353/4792/5139/5594/1509/7157/3553/4790/4048/7040/3791/5595/1812/6774/4988/3558/3586/1728/5465/4780/1139/5578/5319/3692/4318/18/6714/983/7412/2155/4313/7442/5579/598/2875/3630/6772/5894/2475/7099/1956/6517/3359/8837/7299/5925/5315/50506/1277/2944/4314/2805/196/4023/23411/1499/3643/5290/4088/5294/210/351/2064/1080/142/857/3480/6720/5313/2729/3309/5111/3949/7226"
"GO:0042127","GO:0042127","regulation of cell population proliferation",468,0.803650743376453,1.47582492085703,1e-10,6.766e-08,5.45894736842105e-08,224,"tags=21%, list=8%, signal=23%","5743/1803/2099/367/4843/5742/1128/1017/5468/890/1432/6331/146/5292/148/836/6532/590/7124/5241/596/1111/150/581/5970/3725/3162/207/3576/3569/7422/4792/5594/7157/3553/4846/1026/7040/3791/5595/595/3565/6774/240/4988/3558/2950/3586/5328/6347/1139/7498/5578/5319/4318/332/4609/6714/3091/983/8644/7412/1019/3458/4313/891/3552/598/3630/6772/5894/5728/7099/3037/1956/2152/8837/5925/196/1232/994/23411/959/942/1499/572/5293/3643/5290/4088/351/2064/3567/857/3480/1029/3845/6648"
"GO:0009719","GO:0009719","response to endogenous stimulus",484,0.797835620794169,1.46375346982093,1.44013921329366e-10,8.1199849309541e-08,6.55137014047451e-08,250,"tags=23%, list=9%, signal=25%","5743/760/2099/367/4843/10499/5468/890/2932/4129/2100/6256/1432/5292/148/836/2908/590/7124/5241/596/150/5970/3725/842/847/207/8648/3576/3569/7422/2353/5139/5594/1509/7157/3553/4306/4790/4846/4048/1026/7040/3791/5595/595/3565/6774/3586/1728/6347/5465/5447/4780/7498/5578/5319/3692/4609/6714/3091/8644/7412/2155/4313/7442/4985/5579/2875/3630/6772/5894/2475/7099/3037/1645/1956/6517/8837/5925/5315/1277/2805/2720/4023/4199/23411/5291/1499/5293/3643/1508/5290/4088/210/351/2064/1649/142/857/3480/6720/5313/2729/3309/5111/3949/356/7077/331/7031/5467"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",238,0.856496444585973,1.59487503940587,2.89450164895589e-10,1.39887129691683e-07,1.12863801138987e-07,226,"tags=31%, list=8%, signal=31%","5743/43/760/1128/1017/10499/1129/5468/1800/1131/890/2932/154/836/6532/7124/1111/5970/1135/207/8648/3383/2353/5139/5594/1509/7157/3553/4790/7040/3791/5595/1812/6774/4988/4780/1139/5578/5319/6714/7412/7442/5579/598/2875/3630/6772/5894/2475/7099/1956/6517/3359/8837/5925/5315/4314/2805/196/23411/1499/3643/5290/5294/351/2064/1080/142/857/3480/6720/5313/2729"
"GO:0033993","GO:0033993","response to lipid",347,0.811492762490897,1.49743162617039,1.77825276710372e-08,7.51978638888984e-06,6.06711766460518e-06,361,"tags=37%, list=12%, signal=36%","5743/2099/367/4843/10499/5468/890/2932/4129/2100/6256/1432/5292/836/2908/6532/590/7124/5241/596/5970/3725/842/847/207/8648/3576/3569/2353/4792/5139/5594/3553/4306/4790/4846/841/1026/7040/1543/5595/6774/2950/3586/1728/6347/5465/5578/4318/6714/8644/7412/1019/2155/4353/4313/3552/5579/6401/653361/7099/1645/1956/8837/7299/5599/1277/4314/2805/196/1588/5054/2720/4023/23411/942/1499/572/5290/210/1080/142/857/3480/4317/6720/6648/5111/941/3949/356/331/5467/3627/2033/4193/1545/6319/7042/29126/834/6348/1906/6403/6916/4968/31/2643/1437/4257/6915/7001/2821/1636/4851/360/3727/211/1385/5562/3032/1269/5563/6294/3596/64332/948"
"GO:0032879","GO:0032879","regulation of localization",492,0.77465904773167,1.42174083744075,3.26101683142882e-08,1.22577999341374e-05,9.88984402794728e-06,222,"tags=18%, list=8%, signal=20%","5743/43/760/367/4843/1128/5468/1131/2932/154/4129/6256/1432/6331/5292/836/808/6532/7124/596/150/581/152/207/3757/3569/7422/4792/5594/1509/3553/4790/4846/151/7040/5595/1812/6647/3565/240/4988/6347/5465/4780/5578/5319/4318/3156/332/18/5733/6714/3091/983/3458/5444/4985/3552/5579/598/3630/6401/5569/2475/5728/7099/1956/5599/4133/1588/5054/4023/23411/5291/1499/572/580/3643/5290/4088/5294/2539/351/2064/1080/1649/142/857/1029/6720"
"GO:0099536","GO:0099536","synaptic signaling",193,0.857203043585026,1.60799137885797,3.83494446684012e-08,1.29736171313201e-05,1.04673800026489e-05,158,"tags=19%, list=5%, signal=19%","5743/43/760/2554/1128/6530/1129/1131/2932/154/6531/148/2908/6532/590/7124/150/5970/1135/2891/207/5594/3553/5595/1812/4988/1728/6347/1139/3156/18/7442/5579/3630/5728/1956/3359"
