"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",451,0.881013921493986,1.34922988877665,1e-10,3.56e-07,3.17263157894737e-07,234,"tags=26%, list=7%, signal=28%","5743/2099/43/367/760/4843/1128/5468/10499/1017/1800/890/1129/6256/2932/154/1131/2100/5292/2908/7124/1432/6532/5970/150/5139/8648/3569/842/1139/1135/3576/207/7157/1509/3553/5594/3383/3586/5319/4792/2353/4790/6647/7040/3791/5595/4318/847/4846/1019/2950/4988/5465/7442/5925/1728/6347/4780/4353/6720/3091/1645/4313/7412/5578/1277/7099/5599/6772/3359/6714/196/8644/5563/983/653361/6774/23411/3630/834/5562/5579/4023/2641/1956/1545/942/2729/2875/2730/142/8837/3643/8989/1906/2168/2064/5467/5313/572/6517/2475/2805/5530/3552/5054/2033/6649/4314/5601/11200/840/5894/1499/6528"
"GO:0042127","GO:0042127","regulation of cell population proliferation",487,0.858603780901293,1.31583714845934,1.8065301126689e-09,3.21562360055064e-06,2.86572724188635e-06,218,"tags=20%, list=7%, signal=22%","5743/1803/2099/367/4843/5742/1128/5468/1017/890/6331/5292/146/1111/836/148/7124/1432/596/5241/6532/5970/590/581/150/3569/1139/3725/3576/207/7157/3162/3553/5594/5328/3586/7422/5319/4792/595/7040/3791/240/3558/5595/4318/4846/1019/1026/2950/4609/4988/5925/6347/3458/5728/7498/3091/4313/7412/5578/598/891/3565/7099/1991/332/2152/6772/6714/196/8644/983/6774/23411/3630/5562/1956/1545/942/8837/3643/1906/2064/5340/5467/339221/572/3037/1029/356/2355/959/5530/1869/3552/2919/650/578"
"GO:0007267","GO:0007267","cell-cell signaling",345,0.877559116364153,1.35116096384265,3.88795055083622e-09,4.61370132032565e-06,4.11167823165627e-06,127,"tags=14%, list=4%, signal=16%","5743/43/367/760/4843/2554/1128/5468/6530/1129/4129/2932/154/1131/2100/147/6331/6531/146/2908/148/7124/5241/6532/5970/590/150/3569/1139/2891/1135/207/3553/5594/151/240/3558/5595/152/4988/7442/1728/6347/18/3458/6720/3156/5728/3091/5578"
"GO:0009725","GO:0009725","response to hormone",333,0.879258354331482,1.3534036026765,6.07287370321602e-09,5.40485759586226e-06,4.81674772144555e-06,200,"tags=26%, list=6%, signal=27%","5743/2099/367/760/4843/5468/10499/890/4129/6256/2932/2100/5292/836/2908/148/7124/1432/596/5241/5970/590/150/5139/4306/8648/3569/842/3725/4048/207/1509/3553/5594/3586/5319/2353/4790/595/7040/3791/5595/847/4846/2155/1026/5465/7442/5925/1728/4780/6720/1645/4313/3692/5578/1277/6772/6714/8644/5563/6774/23411/3630/5562/5447/5579/2641/1956/1545/2729/2875/2730/142/8837/3643/1906/2064/2720/5467/5313/6517/2475/2355/2805"
"GO:0009719","GO:0009719","response to endogenous stimulus",495,0.851470051710015,1.30488252677645,1.46674015365671e-08,1.04431898940358e-05,9.30685225920281e-06,217,"tags=21%, list=7%, signal=23%","5743/2099/367/760/4843/5468/10499/890/4129/6256/2932/2100/5292/836/2908/148/7124/1432/596/5241/5970/590/150/5139/4306/8648/3569/842/3725/4048/3576/207/7157/1509/3553/5594/3586/7422/5319/2353/4790/595/7040/3791/5595/847/4846/2155/1026/4609/5465/7442/5925/1728/6347/4780/6720/7498/3091/1645/4313/3692/7412/5578/1277/3565/7099/6772/6714/8644/5563/6774/23411/3630/5562/5447/5579/4023/2641/1956/1545/2729/2875/2730/4985/142/8837/3643/1906/2064/2720/5467/5313/3037/6517/356/2475/2355/2805/6721/5530/5972/1649/2033/650"
"GO:1901698","GO:1901698","response to nitrogen compound",398,0.863108512592132,1.32615381830364,5.61045159789224e-08,3.32886794808273e-05,2.96664931860477e-05,234,"tags=25%, list=7%, signal=27%","5743/43/760/1128/5468/10499/1017/1800/890/1129/2932/154/1131/6531/1111/836/7124/1432/6532/5970/590/150/5139/8648/3569/1139/1135/4048/207/7157/1509/3553/5594/3383/3586/5319/4792/2353/4790/7040/3791/3558/5595/4318/847/2155/4988/5465/7442/5925/1728/4780/18/6720/4313/3692/7412/5578/598/1277/7099/6772/3359/6714/196/983/6774/23411/7299/3630/5562/5579/4023/50506/2641/1956/1545/2729/2875/2730/142/8837/3643/1906/2064/5313/6517/2475/2355/2805/6721/5530/5972/2033/4314/2944/840/5894/1499/6528"
"GO:0033993","GO:0033993","response to lipid",353,0.867360838444561,1.33573249417284,2.0550082080459e-07,0.000104511846009191,9.31397705120351e-05,214,"tags=25%, list=7%, signal=27%","5743/2099/367/4843/5468/10499/890/4129/6256/2932/2100/5292/836/2908/7124/1432/596/5241/6532/5970/590/5139/4306/8648/3569/842/3725/3576/207/3553/841/5594/1543/3586/4792/2353/4790/7040/5595/4318/847/4846/1019/2155/1026/2950/5465/1728/6347/4353/6720/1645/4313/7412/5578/1277/7099/1991/5599/6714/196/8644/5563/653361/6774/23411/7299/6401/834/5562/5579/1588/4023/1956/1545/942/142/8837/1906/2720/5467/572/356/2355/2805/1869/3552/5972/5054/2033"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",247,0.886278359818305,1.3762370403614,4.00322685930124e-07,0.000178143595238905,0.000158759549393867,200,"tags=27%, list=6%, signal=28%","5743/43/760/1128/5468/10499/1017/1800/890/1129/2932/154/1131/1111/836/7124/6532/5970/5139/8648/1139/1135/207/7157/1509/3553/5594/3383/5319/2353/4790/7040/3791/5595/4988/7442/5925/4780/6720/7412/5578/598/7099/6772/3359/6714/196/6774/23411/3630/5562/5579/2641/1956/1545/2729/2875/2730/142/8837/3643/1906/2064/5313/6517/2475/2805"
"GO:0007268","GO:0007268","chemical synaptic transmission",185,0.891964271227001,1.40945612120035,1.17222086079717e-06,0.000417310626443792,0.000371902492046597,118,"tags=16%, list=4%, signal=17%","5743/43/760/2554/1128/6530/1129/2932/154/1131/6531/2908/148/7124/6532/590/150/1139/2891/1135/207/3553/5594/5595/7442/1728/6347/18/3156/5728"
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling",185,0.891964271227001,1.40945612120035,1.17222086079717e-06,0.000417310626443792,0.000371902492046597,118,"tags=16%, list=4%, signal=17%","5743/43/760/2554/1128/6530/1129/2932/154/1131/6531/2908/148/7124/6532/590/150/1139/2891/1135/207/3553/5594/5595/7442/1728/6347/18/3156/5728"
