"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",367,0.839347152787471,1.388013349796,1e-10,1.5065e-07,1.26368421052632e-07,178,"tags=26%, list=9%, signal=29%","5743/2099/367/760/43/4843/1017/10499/1128/5468/1800/2932/890/1129/154/2100/6256/1131/2908/5292/1432/7124/6532/5139/5970/8648/150/842/3569/207/5594/7157/1509/1139/3553/3383/3576/1135/5595/847/4780/3791/6714/4846/7040/2353/3586/6647/4318/2950/4988/1728/5319/4792/4790/5465/7412/5599/5579/4353/7442/5578/2641/1277/5925/6772/5054/8644/1019/6517/6774/4313/3091/983/3630/5467/196/1812/2475/6347/5315/1545/653361/3643/2064/2875/2805/23411/7099/4314/5562/5563/6720/1956"
"GO:1901700","GO:1901700","response to oxygen-containing compound",497,0.823577235369462,1.35554945378076,1e-10,1.5065e-07,1.26368421052632e-07,202,"tags=25%, list=11%, signal=30%","5743/2099/367/760/43/4843/1017/10499/1128/5468/1800/2932/890/1129/154/2100/4129/6256/1131/2908/5292/836/1432/6531/7124/596/6532/590/5139/5970/8648/150/842/3569/3162/207/5594/7157/1509/1139/3553/3383/3576/1135/2155/1543/5595/847/841/4780/3791/6714/4846/7040/2353/3586/6647/4318/2950/4988/1026/1728/5319/4792/3558/4790/5465/4048/7412/5599/5579/4353/18/7442/5578/2641/1277/5925/6772/5054/6401/8644/1019/6517/6774/3692/4313/3091/598/983/3630/5467/50506/196/1812/2475/6347/5315/1545/7299/653361/3643/2064/4842/2875/2805/23411/7099/4314/5562/5563/2752/6720/1956/572/1906/5894/1869/4023/2720/578/142/4317/5313/942"
"GO:0009725","GO:0009725","response to hormone",281,0.842449322870197,1.39802301838163,1.92997588620778e-10,1.93833911504801e-07,1.62592003606487e-07,178,"tags=28%, list=9%, signal=30%","5743/2099/367/760/4843/10499/5468/2932/890/2100/4129/6256/2908/5292/836/1432/7124/148/5241/596/590/5139/5970/8648/4306/150/842/3725/3569/207/5594/1509/3553/2155/5595/847/4780/3791/6714/4846/7040/2353/3586/595/1026/1728/5319/4790/5465/4048/5447/5579/7442/5578/2641/1277/5925/6772/8644/6517/6774/3692/4313/3630/5467/2475/5315/1545/3643/2064/4842/2875/2805/23411/5562/5563/6720/1956"
"GO:1901698","GO:1901698","response to nitrogen compound",319,0.823244613597311,1.36240058390949,7.68514058962284e-09,5.48721055034625e-06,4.60278880338929e-06,178,"tags=27%, list=9%, signal=29%","5743/760/43/1017/10499/1128/5468/1800/2932/890/1129/154/1131/836/1432/6531/7124/6532/1111/590/5139/5970/8648/150/3569/207/5594/7157/1509/1139/3553/3383/1135/2155/5595/847/4780/3791/6714/7040/2353/3586/4318/4988/1728/5319/4792/3558/4790/5465/4048/7412/5579/18/7442/5578/2641/1277/5925/6772/6517/6774/3692/4313/598/983/3630/50506/196/1812/2475/5315/2944/1545/7299/3643/2064/2875/2805/23411/7099/4314/5562/6720/1956"
"GO:0009719","GO:0009719","response to endogenous stimulus",391,0.80824882631972,1.33577194362752,9.10589205168643e-09,5.48721055034625e-06,4.60278880338929e-06,201,"tags=25%, list=11%, signal=28%","5743/2099/367/760/4843/10499/5468/2932/890/2100/4129/6256/2908/5292/836/1432/7124/148/5241/596/590/5139/5970/8648/4306/150/842/3725/3569/207/5594/7157/1509/3553/3576/2155/5595/847/4780/3791/6714/4846/7040/2353/3586/7422/595/1026/1728/5319/7498/4790/5465/4048/7412/4609/5447/5579/7442/5578/2641/1277/5925/6772/8644/6517/3037/6774/3692/4313/3565/3091/3630/5467/2475/6347/5315/1545/3643/2064/4842/2875/2805/23411/7099/5562/5563/6720/1956/1906/627/5894/4023/2720/650/142/5313"
"GO:0007267","GO:0007267","cell-cell signaling",263,0.836849392267533,1.38786867346855,2.32340200422096e-08,1.12296962770756e-05,9.41970784888588e-06,150,"tags=21%, list=8%, signal=22%","5743/367/760/43/4843/2554/1128/5468/6530/2932/1129/154/2100/4129/1131/147/2908/6331/6531/7124/148/5241/146/6532/2891/590/5970/150/3569/207/5594/1139/3553/1135/5595/240/151/4988/1728/3558/3156/5728/5579/3458/18/7442/5578/2641/5327/152/3091/3630/5467/1812/6347"
"GO:0042127","GO:0042127","regulation of cell population proliferation",371,0.808629810589562,1.33701995778327,2.6089569843853e-08,1.12296962770756e-05,9.41970784888588e-06,220,"tags=26%, list=12%, signal=29%","5743/1803/2099/367/4843/5742/1017/1128/5468/890/5292/6331/836/1432/7124/148/5241/596/146/6532/1111/590/5970/581/150/3725/3569/3162/207/5594/7157/1139/3553/3576/5328/5595/3791/6714/4846/7040/3586/240/4318/7422/2950/4988/595/1026/5319/4792/3558/7498/7412/4609/5728/3458/5578/5925/6772/8644/1019/3037/6774/4313/3565/3091/598/983/3630/5467/891/196/6347/1545/3643/2064/5340/23411/7099/332/5562/1956/572/1906/5894/1869/650/578/942/1487/994/1991/1029/7076/5530/2152/1401"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",205,0.846959459235591,1.41066042872119,5.61045159789224e-08,2.11303633305617e-05,1.77245977454464e-05,190,"tags=32%, list=10%, signal=32%","5743/760/43/1017/10499/1128/5468/1800/2932/890/1129/154/1131/836/7124/6532/1111/5139/5970/8648/207/5594/7157/1509/1139/3553/3383/1135/5595/4780/3791/6714/7040/2353/4988/5319/4790/7412/5579/7442/5578/2641/5925/6772/6517/6774/598/3630/196/1812/2475/5315/1545/3643/2064/2875/2805/23411/7099/4314/5562/6720/1956/1906/5894/2946"
"GO:0008283","GO:0008283","cell population proliferation",423,0.795530883669224,1.31282059278899,6.6591060146497e-08,2.22932071357106e-05,1.87000158376303e-05,220,"tags=24%, list=12%, signal=27%","5743/1803/2099/367/4843/5742/1017/1128/5468/890/5292/6331/836/1432/7124/148/5241/596/146/6532/1111/590/5970/581/150/3725/3569/3162/207/5594/7157/1139/3553/3576/5328/5595/3791/6714/4846/7040/2353/3586/240/4318/7422/2950/4988/595/1026/5319/4792/3558/7498/7412/4609/5728/3458/5578/5925/6772/8644/1019/6517/3037/6774/4313/3565/3091/598/983/3630/5467/891/196/6347/1545/7299/3643/2064/5340/23411/7099/332/5562/2752/1956/572/1906/5894/1869/650/578/942/1487/5130/994/1991/1029/7076/5530/2152/1401"
"GO:0033993","GO:0033993","response to lipid",282,0.823416511242716,1.36602959544452,9.07102245631554e-08,2.73309906608787e-05,2.29258157027512e-05,202,"tags=29%, list=11%, signal=31%","5743/2099/367/4843/10499/5468/2932/890/2100/4129/6256/2908/5292/836/1432/7124/5241/596/6532/590/5139/5970/8648/4306/842/3725/3569/207/5594/3553/3576/2155/1543/5595/847/841/6714/4846/7040/2353/3586/4318/2950/1026/1728/4792/4790/5465/7412/5599/5579/4353/5578/1277/5054/6401/8644/1019/6774/4313/5467/196/6347/1545/7299/653361/4842/2805/23411/7099/4314/5562/5563/6720/1956/572/1906/1869/4023/2720/142/4317/942"
"GO:0032879","GO:0032879","regulation of localization",389,0.789917690951082,1.30559209316476,1.29200782520696e-06,0.00035389268884987,0.00029685270701645,199,"tags=22%, list=11%, signal=25%","5743/367/760/43/4843/1128/5468/2932/154/4129/6256/1131/5292/6331/836/1432/808/7124/596/6532/581/150/3569/207/3757/5594/1509/3553/5595/4780/6714/4846/7040/6647/240/4318/7422/151/4988/5319/4792/3156/4790/5465/5569/5599/5444/5728/5579/3458/18/5578/2641/5054/6401/152/3565/3091/598/983/3630/5467/1812/2475/6347/5733/3643/2064/4133/4842/23411/7099/332/5562/5563/2752/6720/1956/2746/572/1906/627/2946/4023/650/578/142"
"GO:0099536","GO:0099536","synaptic signaling",139,0.857718444106341,1.44252406260371,3.62927215884261e-06,0.000911249751216066,0.000764375653805361,120,"tags=23%, list=6%, signal=23%","5743/760/43/2554/1128/6530/2932/1129/154/1131/2908/6531/7124/148/6532/2891/590/5970/150/207/5594/1139/3553/1135/5595/4988/1728/3156/5728/5579/18/7442"
"GO:0003008","GO:0003008","system process",337,0.788926789327672,1.30492121167571,4.73530652238197e-06,0.00109749835014899,0.00092060493605175,178,"tags=20%, list=9%, signal=23%","5743/367/4843/5742/1128/5468/2932/1129/154/1131/147/6331/836/6531/808/7124/148/596/146/6532/590/5139/153/150/231/3162/207/3757/5594/1139/3553/1135/5595/6714/4846/7040/2353/6647/7422/151/4988/3156/5465/5728/18/7442/5578/1277/6772/8644/6517/3037/2628/4313/152/3091/3630/5467/1812/2475/6347/5733/7299/3643/4842/7099/332/6720/1956"
"GO:0051049","GO:0051049","regulation of transport",325,0.795419733016717,1.31622057798301,5.42658065175288e-06,0.00116787767883796,0.000979640612395389,185,"tags=22%, list=10%, signal=24%","5743/760/43/4843/1128/5468/2932/154/4129/6256/1131/5292/6331/836/1432/808/7124/596/6532/581/150/3569/207/3757/5594/3553/5595/4780/6714/4846/7040/6647/240/4318/7422/151/4988/5319/4792/3156/4790/5465/5569/5444/5728/5579/3458/18/5578/2641/5054/6401/152/3565/3091/598/983/3630/5467/1812/6347/5733/3643/4133/4842/23411/7099/5562/6720/1956/2746/572/1906"
