"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",431,0.787763315666916,1.3220558184849,1e-10,2.363e-07,2.06842105263158e-07,229,"tags=36%, list=19%, signal=46%","5743/1803/760/4843/367/2099/5742/43/1017/5468/5292/10499/1800/2932/890/2100/1432/154/1111/6256/1128/6331/3757/836/7124/150/2908/596/2155/5970/8648/5139/842/6532/3162/207/3569/5594/5241/3576/4988/1129/3553/1131/7157/4985/231/7040/1132/4318/6647/4846/1543/1576/7422/3383/4353/3586/4790/2353/5595/4792/5447/3091/1019/6347/983/196/8856/3630/847/5465/598/5925/240/4780/3643/4313/3359/6772/1544/4306/3791/1812/3627/4609/6517/183/1133/5894/1509/1139/8644/1545/1277/1814/6373/1244/351/5578/2950/1956/6714/6257/6387/590/5579/5319/1728/2641/4842/2475/5054/2944/2064/7412/6850/23411/1588/1869/2921/1816/50506/1236/6774/728/5473/7852/1813/3480/31/1234/695/4193/7054/4314/2730/2946/6750/729230/6364/6363/3577/1499/7128/5293/5563/3579/846/4283/2833/5467/301/7076/719"
"GO:1901700","GO:1901700","response to oxygen-containing compound",376,0.778789597386792,1.30882946110578,2.98954276103217e-09,3.53214477215951e-06,3.09181659233064e-06,205,"tags=34%, list=17%, signal=41%","5743/760/4843/367/2099/43/1017/5468/5292/10499/1800/2932/890/2100/1432/154/4129/6256/1128/836/7124/150/6531/2908/596/2155/5970/8648/5139/842/6532/3162/207/3569/5594/3576/4988/1129/3553/1131/7157/4985/7040/1026/1132/4318/4048/6647/4846/1543/3383/4353/3586/4790/2353/5595/4792/3091/841/1019/6347/983/196/3630/847/5465/598/5925/4780/3643/4313/3558/3359/6772/3692/3791/1812/3627/6517/183/1133/5894/1509/1139/8644/1545/1277/1814/351/5578/2950/1956/6714/6257/6387/590/6401/5579/5319/1728/2641/4842/51083/2475/5054/2064/7412/6850/23411/1588/1869/1816/50506/1236/6774/728/5473/7852/1813/3480/31/1234/695/4193/7054/4314/2730"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",294,0.778469292436449,1.31082757363468,6.34315356337415e-07,0.00049962906234177,0.00043734374568527,153,"tags=27%, list=13%, signal=31%","5743/760/4843/367/2099/43/1017/5468/5292/10499/1800/2932/890/2100/1432/154/6256/1128/7124/150/2908/5970/8648/5139/842/6532/207/3569/5594/3576/4988/1129/3553/1131/7157/7040/1132/4318/6647/4846/3383/4353/3586/4790/2353/5595/4792/3091/1019/6347/983/196/3630/847/5465/5925/4780/3643/4313/3359/6772/3791/1812/3627/6517/183/1133/5894/1509/1139/8644/1545/1277/1814/351/5578/2950/1956/6714/6257"
"GO:0009725","GO:0009725","response to hormone",220,0.788726580705584,1.32919790405249,7.01651515424421e-06,0.00269688230306789,0.00236068054681979,168,"tags=32%, list=14%, signal=34%","5743/760/4843/367/2099/5468/5292/10499/2932/890/2100/1432/4129/6256/836/7124/150/2908/148/596/2155/5970/8648/5139/842/207/3569/5594/5241/3553/3725/595/7040/1026/4048/4846/3586/4790/2353/5595/5447/3630/847/5465/5925/4780/3643/4313/6772/3692/4306/3791/6517/183/5894/1509/8644/1545/1277/5578/1956/6714/6257/6387/590/5579/5319/1728/2641/4842/51083"
"GO:0042127","GO:0042127","regulation of cell population proliferation",303,0.761615003400229,1.28160555680084,7.15545155296578e-06,0.00269688230306789,0.00236068054681979,231,"tags=37%, list=19%, signal=40%","5743/1803/4843/367/2099/5742/1017/5468/5292/890/1432/1111/1128/6331/836/7124/150/146/148/596/581/5970/6532/3162/207/3569/5594/5241/3576/4988/3553/3725/7157/595/5328/7040/1026/4318/4846/7422/3586/5595/3458/4792/3091/1019/6347/983/196/3630/598/5925/240/3643/891/4313/3558/6772/3791/2919/3627/3565/4609/183/5894/1139/8644/1545/6373/5728/351/5578/2950/1029/1956/6714/6387/590/5319/51083/959/1021/2064/7412/6850/23411/1869/3037/6774/339221/728/1813/3480/332/695/4193/1401/6750/729230/6363/1499/7128/5293/3579/846/4283/2833/5467/301/7076/134/7498"
"GO:0008283","GO:0008283","cell population proliferation",328,0.74900397043386,1.26069315171932,7.9890715706624e-06,0.00269688230306789,0.00236068054681979,152,"tags=24%, list=13%, signal=29%","5743/1803/4843/367/2099/5742/1017/5468/5292/890/1432/1111/1128/6331/836/7124/150/146/148/596/581/5970/6532/3162/207/3569/5594/5241/3576/4988/3553/3725/7157/595/5328/7040/1026/4318/4846/7422/3586/2353/5595/3458/4792/3091/1019/6347/983/196/3630/598/5925/240/3643/891/4313/3558/6772/3791/2919/3627/3565/4609/6517/183/5894/1139/8644/1545/6373/5728/351/5578/2950/1029/1956/6714"
"GO:0035556","GO:0035556","intracellular signal transduction",438,0.735417879807026,1.23457681590353,7.8501347280943e-06,0.00269688230306789,0.00236068054681979,222,"tags=31%, list=19%, signal=39%","5743/4843/367/2099/1017/5468/5292/10499/2932/890/2100/1432/154/1111/6256/808/836/7124/150/2908/146/148/596/581/2155/5970/8648/153/5139/842/147/3162/207/3569/5594/5241/3576/4988/152/3553/1131/3725/7157/595/7040/1026/4318/151/6647/4846/7422/3383/3586/4790/2353/5595/4792/3091/841/983/196/8856/3630/847/5465/598/5925/4780/3643/891/4313/10846/6772/4306/51191/3791/1812/2919/4609/183/5894/4170/1139/8644/1545/3156/1814/5728/351/5578/2950/1029/1956/6714/6257/54205/6387/6401/5579/5319/2641/4842/51083/959/2475/2064/6850/23411/1869/1816/1236/6774/728/7852/1813/3480/1234/332/695/4193/5569/4314/2946/729230/6364/6363/3577/1499/7128/5293/5563/3579/5582/846"
"GO:0009719","GO:0009719","response to endogenous stimulus",292,0.76118017573858,1.28140417553792,1.91287568843166e-05,0.00565015656470501,0.00494579043127396,180,"tags=29%, list=15%, signal=33%","5743/760/4843/367/2099/5468/5292/10499/2932/890/2100/1432/4129/6256/836/7124/150/2908/148/596/2155/5970/8648/5139/842/207/3569/5594/5241/3576/3553/3725/7157/595/4985/7040/1026/4048/4846/7422/3586/4790/2353/5595/5447/3091/6347/3630/847/5465/5925/4780/3643/4313/6772/3692/4306/3791/3565/4609/6517/183/5894/1509/8644/1545/1277/351/5578/1956/6714/6257/6387/590/5579/5319/1728/2641/4842/51083/2475/2064/7412/6850/23411"
"GO:0009888","GO:0009888","tissue development",244,0.765861740759626,1.28949718038851,3.78851830035431e-05,0.00746022395311436,0.00653020917561072,109,"tags=20%, list=9%, signal=23%","5743/760/367/2099/5468/5292/10499/2932/1432/154/6256/6331/836/7124/2908/148/596/581/5970/8648/207/3569/5594/5241/3553/7157/595/231/7040/1026/4318/4048/6647/4846/1543/7422/3383/3586/2353/5595/3458/3091/983/847/5465/5925/240/3643/4313"
"GO:0065008","GO:0065008","regulation of biological quality",420,0.731917696690812,1.22876081171933,3.00276779217528e-05,0.00746022395311436,0.00653020917561072,201,"tags=27%, list=17%, signal=34%","5743/1803/760/4843/367/2099/5742/5468/5292/2932/1432/154/1128/6331/3757/808/2554/836/7124/150/6531/2908/146/148/596/581/2155/8648/153/5139/147/6532/207/3569/5594/4988/152/3553/1131/7157/595/2891/4985/5328/231/7040/151/6647/4846/5733/1543/1576/7422/3586/4790/3458/124/3091/6347/3630/5465/598/240/4780/4313/151056/3558/3359/6772/1544/3791/1812/183/5894/1139/8644/1545/3156/1814/5728/351/5578/1029/1956/6714/6387/590/5579/5319/2641/4842/51083/959/2475/5054/2064/6850/23411/1588/1869/1733/1816/50506/1236/3037/728/7852/1813/3480/1234/695/4193"
