"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",294,0.83799226641786,1.48717830395626,4.30452265544389e-08,1.33009750053216e-05,9.56057137156484e-06,275,"tags=24%, list=7%, signal=25%","5743/2099/4843/367/1017/5468/2932/5292/6256/890/2100/836/596/581/842/808/5970/3569/207/3725/7157/3162/3576/7422/8648/841/4609/5594/4318/1019/595/7040/5579/1026/4780/5595/2353/4792/5578/5728/3458/4313/1499/3565/598/2475/3558/1487/2950/4312/1906/2335/650/5733/1728/3091/4790/5599/2064/332/1956/5467/355/5925/2147/356/840/5879/387/6772/5894/3480"
"hsa04082","hsa04082","Neuroactive ligand signaling",129,0.894790743912959,1.59135635623156,5.5768788505753e-07,8.61627782413884e-05,6.19327072353363e-05,124,"tags=17%, list=3%, signal=17%","43/2554/1128/1129/6530/1131/154/146/147/6531/148/1139/153/2891/150/6532/4988/5579/152/5578/2902/3359"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",227,0.833875382702803,1.4831018369394,6.25611116932365e-06,0.000644379450440336,0.000463171739202558,250,"tags=13%, list=6%, signal=13%","5644/2554/1128/1129/1131/154/146/147/2908/148/5646/1139/153/2891/150/1135/4988/2641/152/7442/2902/116443/1906/5733/5340/4985/2890/2147/1132/1812"
"hsa04726","hsa04726","Serotonergic synapse",60,0.910065948366824,1.62288383470528,6.48640838088012e-05,0.0050107504742299,0.00360166360096239,124,"tags=20%, list=3%, signal=20%","5743/5742/4129/836/4128/6532/5594/240/5579/5595/5578/3359"
"hsa04723","hsa04723","Retrograde endocannabinoid signaling",50,0.912069748441851,1.62494256418406,0.000146239387740484,0.00903759416236192,0.00649610753962993,111,"tags=16%, list=3%, signal=16%","5743/2554/2891/1432/5594/5579/5595/5578"
"hsa05140","hsa05140","Leishmaniasis",52,0.908855147017709,1.61701787230316,0.000262025126322415,0.0113351370028014,0.00814755206128803,133,"tags=31%, list=3%, signal=30%","5743/4843/7124/1432/5970/3725/5594/3553/3586/7040/5579/5595/2353/4792/3458/3565"
"hsa05222","hsa05222","Small cell lung cancer",67,0.89897181944179,1.60447698921034,0.000266581971177441,0.0113351370028014,0.00814755206128803,163,"tags=28%, list=4%, signal=28%","5743/4843/1017/6256/836/596/581/842/5970/207/7157/4609/1019/595/1026/4792/5728/598/2335"
"hsa04725","hsa04725","Cholinergic synapse",65,0.887763173226891,1.58359511876121,0.00036683291271202,0.0113351370028014,0.00814755206128803,111,"tags=18%, list=3%, signal=18%","43/1128/1129/1131/596/1139/207/5594/5579/5595/2353/5578"
"hsa05163","hsa05163","Human cytomegalovirus infection",122,0.851754002518564,1.51587189213572,0.00036683291271202,0.0113351370028014,0.00814755206128803,279,"tags=36%, list=7%, signal=35%","5743/2932/836/7124/581/1432/842/808/5970/3569/207/7157/3576/7422/6714/841/4609/5594/3553/1019/595/5579/1026/5595/4792/5578/1499/2475/5733/6347/3106/3135/4790/3107/1956/3105/355/5925/356/5879/387/5894/1385/6376"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",199,0.804363563601573,1.43781142814961,0.000330377962607867,0.0113351370028014,0.00814755206128803,262,"tags=21%, list=6%, signal=20%","5743/4843/1128/1131/2932/6531/836/596/7124/1139/2891/581/1432/842/808/5970/3569/847/841/5594/3553/6647/5579/5595/5578/2902/6389/1499/598/2475/627/4842/4790/5709/5599/2890/355/356/840/5879/3309"
