"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",256,0.819778133006095,1.52910937014848,5.24368076617213e-08,1.53639846448843e-05,9.99059177554901e-06,257,"tags=29%, list=9%, signal=29%","5743/2099/367/4843/1017/5468/2932/890/5292/2100/6256/808/836/596/5970/581/3725/8648/3569/207/842/3162/7422/3576/2353/841/7157/5594/4318/3458/7040/5595/4780/4609/5599/595/5728/4792/3558/6774/5579/2950/1728/4312/1019/1026/5578/4313/3091/598/1956/5733/6772/3565/3480/3593/1906/2475/650/4790/5879/5290/3592/5291/2944/2335/5467/355/1950/332/2064/387/6257/5925"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",129,0.836080127448147,1.57698542472245,2.80646850656836e-05,0.00411147636212264,0.00267353052467828,199,"tags=27%, list=7%, signal=26%","5743/4843/1128/2932/1131/808/1432/6531/836/7124/596/2891/5970/581/3569/1139/842/6647/841/3553/5594/847/5595/5599/5579/5578/598/4842/2475/5709/3309/2902/4790/5879/6389"
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",71,0.870884813005038,1.67780060566974,8.40408630237044e-05,0.00756069737009369,0.00491642257584681,224,"tags=55%, list=7%, signal=52%","5292/1432/836/7124/596/5970/581/3725/3569/207/7422/3576/3553/5594/4846/3383/7040/5595/5599/595/7412/6774/5579/1277/6401/1019/5578/4313/2152/6772/6347/5054/1906/4790/5879/5290/5291/2335/3552"
"hsa05417","hsa05417","Lipid and atherosclerosis",126,0.831606558541539,1.56768245857836,0.000103217711537115,0.00756069737009369,0.00491642257584681,252,"tags=42%, list=8%, signal=40%","5468/2932/6256/808/1432/836/7124/596/5970/581/3725/3569/207/842/6714/3576/2353/841/3553/7157/5594/4846/4318/3383/5595/1543/4780/5599/7412/4792/6774/4312/6401/5578/7099/598/6347/3593/3309/4790/5879/653361/2919/5290/834/338/3592/5291/4973/355/2920/387/6257"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation",92,0.850943743779284,1.62869577526195,0.00015304108652043,0.0089682076700972,0.00583167087583112,257,"tags=45%, list=9%, signal=42%","2099/367/154/2100/6256/596/5241/153/5970/3725/1139/207/7422/6714/2353/5594/5595/1543/4609/595/1576/6774/5579/1544/5578/5465/1956/196/2475/1545/1385/9970/4790/5290/5291/2944/155/1950/332/6257/5925"
"hsa04915","hsa04915","Estrogen signaling pathway",52,0.881837521156797,1.71417621485481,0.000321264234309508,0.0114157863408058,0.00742323451656493,130,"tags=37%, list=4%, signal=36%","2099/10499/2100/808/596/5241/1509/3725/8648/207/6714/2353/4988/5594/4846/4318/5595/4313/1956"
"hsa04726","hsa04726","Serotonergic synapse",51,0.875705830631077,1.70720461280325,0.000375946658123661,0.0114157863408058,0.00742323451656493,121,"tags=24%, list=4%, signal=23%","5743/5742/4129/836/6532/4128/5594/240/5595/5579/3359/5578"
"hsa05222","hsa05222","Small cell lung cancer",64,0.86648603267019,1.66866322640027,0.00038961728125617,0.0114157863408058,0.00742323451656493,128,"tags=28%, list=4%, signal=28%","5743/4843/1017/6256/836/596/5970/581/207/842/7157/4609/595/5728/4792/1019/1026/598"
"hsa05163","hsa05163","Human cytomegalovirus infection",102,0.831167824386064,1.58230494469382,0.000334934828273008,0.0114157863408058,0.00742323451656493,330,"tags=50%, list=11%, signal=46%","5743/2932/808/1432/836/7124/5970/581/3569/207/842/7422/6714/3576/841/3553/7157/5594/5595/4609/595/4792/6774/5579/1019/1026/5578/1956/5733/6347/2475/1385/4790/5879/5290/3135/3106/3107/5291/3134/355/3105/387/5925/6376/3716/1869/1499/5293/3551/5881"
"hsa05010","hsa05010","Alzheimer disease",105,0.829118787095214,1.57150360231321,0.000275695666483964,0.0114157863408058,0.00742323451656493,228,"tags=29%, list=8%, signal=27%","5743/4843/1128/2932/1131/808/836/7124/5970/3569/1139/207/842/841/3553/5594/5595/5599/4842/3643/2475/5709/2902/3630/4790/5290/6389/5291/3552/355"
"hsa04723","hsa04723","Retrograde endocannabinoid signaling",35,0.899995484369641,1.77625622538301,0.000462527351907379,0.0118696122670587,0.00771833957369361,121,"tags=26%, list=4%, signal=25%","5743/2554/1432/2891/5594/5595/5599/5579/5578"
"hsa05140","hsa05140","Leishmaniasis",48,0.881411414602221,1.71931187395171,0.000517479396549912,0.0118696122670587,0.00771833957369361,203,"tags=46%, list=7%, signal=43%","5743/4843/1432/7124/5970/3725/2353/3553/3586/5594/3458/7040/5595/4792/5579/7099/6772/3565/3593/4790/653361/3592"
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",100,0.828280930053072,1.5808839199147,0.000526638086934343,0.0118696122670587,0.00771833957369361,236,"tags=44%, list=8%, signal=42%","5743/2932/808/1432/836/5970/581/3725/3569/207/842/7422/6714/3576/2353/841/7157/5594/3383/5595/4609/5599/595/4792/6774/1019/1026/3091/6772/2475/1385/4790/5879/2919/5290/3135/3106/3107/5291/5294/3134/355/3105/2920"
"hsa05161","hsa05161","Hepatitis B",87,0.837633960339011,1.60889684617279,0.000636542635145292,0.0133219280069693,0.00866272307979684,206,"tags=39%, list=7%, signal=37%","1017/890/1432/836/7124/596/5970/581/3725/3569/207/842/6714/3576/2353/841/7157/5594/4318/7040/5595/4609/5599/4792/6774/5579/1026/5578/7099/6772/1385/4790/5290/5291"
"hsa05165","hsa05165","Human papillomavirus infection",122,0.807707357727687,1.52304700666023,0.000682336305829537,0.0133283025072036,0.00866686816527342,240,"tags=29%, list=8%, signal=28%","5743/1017/2932/890/836/7124/5970/581/207/7422/841/7157/5594/5595/595/5728/1277/1019/1026/1956/6772/5315/2475/1385/4790/5290/3135/3106/3107/5291/2335/3134/355/3105/1950"
"hsa04917","hsa04917","Prolactin signaling pathway",35,0.893393703099475,1.76322676547637,0.000764765024259939,0.0134922646336238,0.00877348625358686,206,"tags=51%, list=7%, signal=48%","2099/2932/2100/1432/5970/207/6714/2353/5594/5595/5599/595/6774/6772/3630/4790/5290/5291"
"hsa04932","hsa04932","Non-alcoholic fatty liver disease",76,0.839121743199847,1.61867120514494,0.000819717564893581,0.0134922646336238,0.00877348625358686,256,"tags=42%, list=9%, signal=40%","5468/2932/6256/1432/836/7124/5970/581/3725/3569/207/3576/2353/841/3553/7040/5599/6720/5465/5313/3643/3630/4790/5879/5290/6389/5291/51422/3552/355/5563/5562"
"hsa04082","hsa04082","Neuroactive ligand signaling",111,0.811852003335976,1.53803313669882,0.000828876325615112,0.0134922646336238,0.00877348625358686,195,"tags=23%, list=7%, signal=23%","43/2554/1128/154/6530/1129/1131/6531/147/146/148/6532/2891/153/150/1139/4988/152/5579/3359/5578/4985/151/2902/1812/60482"
"hsa04625","hsa04625","C-type lectin receptor signaling pathway",49,0.872439552256343,1.70077672805282,0.00104006956604479,0.0145114468024344,0.00943622012301284,206,"tags=49%, list=7%, signal=46%","5743/808/1432/7124/5970/3725/3569/207/6714/841/3553/3586/5594/5595/5599/4792/3558/6772/3593/4790/5290/834/3592/5291"
"hsa04657","hsa04657","IL-17 signaling pathway",54,0.868535310971888,1.68632808340754,0.00100325392285567,0.0145114468024344,0.00943622012301284,145,"tags=39%, list=5%, signal=38%","5743/2932/1432/836/7124/5970/3725/3569/3576/2353/841/3553/5594/4318/3458/5595/5599/4792/4312/6347/3565"
"hsa04218","hsa04218","Cellular senescence",69,0.843581633283396,1.62628257032394,0.00102166173996351,0.0145114468024344,0.00943622012301284,230,"tags=46%, list=8%, signal=44%","1017/890/808/1432/1111/5970/3569/207/3576/7157/5594/7040/5595/4609/595/5728/1019/1026/983/5054/23411/891/2475/4790/5290/3135/3106/3107/5291/3134/3552/3105"
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",43,0.872335076543662,1.70401117336862,0.00133459570078322,0.0150398669357493,0.00977983084379604,121,"tags=30%, list=4%, signal=29%","154/6331/808/1432/147/146/148/596/153/207/5594/5595/5578"
"hsa04926","hsa04926","Relaxin signaling pathway",58,0.860001800018448,1.66646419079491,0.00127937194546974,0.0150398669357493,0.00977983084379604,206,"tags=47%, list=7%, signal=44%","4843/1432/5970/3725/207/7422/6714/2353/5594/4846/4318/7040/5595/5599/4792/1277/4312/5578/4313/1956/59/4842/1906/1385/4790/5290/5291"
"hsa05164","hsa05164","Influenza A",78,0.830272535920622,1.6011202148412,0.00131618777808824,0.0150398669357493,0.00977983084379604,228,"tags=42%, list=8%, signal=40%","5644/836/7124/5646/5970/581/3569/207/842/3576/841/3553/5594/3383/3458/5595/4792/5579/1019/5578/7099/6772/6347/3593/4790/5290/834/3592/5291/3552/60/3627/355"
"hsa05152","hsa05152","Tuberculosis",79,0.830258482373812,1.6009239844149,0.001224148231351,0.0150398669357493,0.00977983084379604,203,"tags=34%, list=7%, signal=33%","4843/808/1432/836/7124/596/5970/581/1509/3569/207/842/6714/841/3553/3586/5594/3458/7040/5595/5599/7099/6772/3593/1385/4790/3592"
"hsa05169","hsa05169","Epstein-Barr virus infection",82,0.828889024825213,1.59491142078728,0.00116892456426477,0.0150398669357493,0.00977983084379604,230,"tags=43%, list=8%, signal=41%","1017/890/1432/836/7124/596/5970/581/3725/3569/207/842/841/7157/3383/4609/5599/595/4792/6774/1019/1026/6772/5709/4790/5879/5290/3135/3106/3107/5291/3134/3627/355/3105"
"hsa05162","hsa05162","Measles",75,0.833911306766004,1.60610749632513,0.0015002671684057,0.016280677049736,0.0105866806035646,228,"tags=40%, list=8%, signal=38%","1017/2932/836/596/5970/581/3725/3569/207/842/2353/841/3553/7157/5599/595/4792/3558/6774/1019/7099/598/6772/3593/4790/5290/3592/5291/3552/355"
"hsa01522","hsa01522","Endocrine resistance",48,0.861332619569594,1.68014547544322,0.00186842672700572,0.0182483010337558,0.0118661486872995,206,"tags=48%, list=7%, signal=45%","2099/2100/1432/596/581/3725/207/6714/2353/7157/5594/4318/5595/5599/595/1019/1026/4313/1956/3480/2475/5290/5291"
"hsa05142","hsa05142","Chagas disease",55,0.857206065969348,1.66224188981022,0.00175797877787988,0.0182483010337558,0.0118661486872995,228,"tags=53%, list=8%, signal=50%","4843/1432/7124/5970/3725/3569/207/3576/2353/841/3553/3586/5594/3458/7040/5595/5599/4792/3558/7099/6347/5054/3593/1636/4790/5290/3592/5291/355"
