"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901700","GO:1901700","response to oxygen-containing compound",454,0.845237892721516,1.24924385297579,1e-10,2.885e-07,2.66421052631579e-07,262,"tags=34%, list=14%, signal=39%","5743/760/2099/43/367/4843/10499/1800/1017/5468/1128/890/1129/2100/2932/4129/154/6256/1131/5292/1432/836/6531/7124/596/2908/6532/5970/8648/150/3569/5139/842/590/207/7157/5594/3162/3553/3576/1135/1509/3383/1139/4318/1543/5319/841/4048/5595/1026/7040/4790/3586/6714/6647/847/2353/2950/3091/2155/4780/7412/7442/5925/4846/5578/4792/3558/1728/18/598/3692/7299/1019/5465/142/4353/6347/5563/4842/8644/4988/6772/3791/2720/2641/2475/4313/983/5562/5315/653361/1588/2875/1906/3630/2730/5467/6774/5599/1545/1645/196/6517/2805/3643/578/1991/23411/2902/7099/5579/1869/1499/5054/5601/2064/4057/572/5313/2806/4314/6401/50506/4257/2752/6528/11200/54583/4199/116443/3627/1277/472/5894/1027/768/5530/4317/840/3552/1636/6720/2539/7076/1956/5580/7350/25/5972/50507/1385/51083/3593/6622"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",325,0.85765742149257,1.27027227475729,3.02151617724456e-09,4.35853708567528e-06,4.02497760242421e-06,191,"tags=30%, list=10%, signal=33%","5743/760/2099/43/367/4843/10499/1800/1017/5468/1128/890/1129/2100/2932/154/6256/1131/5292/1432/7124/2908/6532/5970/8648/150/3569/5139/842/207/7157/5594/3553/3576/1135/1509/3383/1139/4318/5319/5595/7040/4790/3586/6714/6647/847/2353/2950/3091/4780/7412/7442/5925/4846/5578/4792/1728/1019/5465/142/4353/6347/5563/8644/4988/6772/3791/2641/2475/4313/983/5562/5315/653361/2875/1906/3630/2730/5467/6774/5599/1545/1645/196/6517/2805/3643/23411/7099/5579/1499/5054/5601/2064/4057/572/5313"
"GO:0009725","GO:0009725","response to hormone",266,0.85566386840074,1.26765417911813,1.71777933812535e-07,0.000165193113016388,0.000152550859817377,167,"tags=29%, list=9%, signal=31%","5743/760/2099/367/4843/10499/5468/890/2100/2932/4129/6256/5292/1432/836/7124/148/596/5241/2908/5970/8648/150/3569/5139/842/4306/590/207/5594/3553/3725/1509/5319/4048/5595/1026/7040/4790/3586/6714/847/2353/595/2155/4780/7442/5925/4846/5578/1728/3692/5465/142/5563/4842/8644/6772/3791/5447/2720/2641/2475/4313/5562/5315/2875/1906/3630/2730/5467/6774/1545/1645/6517/2805/3643"
"GO:0009719","GO:0009719","response to endogenous stimulus",357,0.832115049760646,1.23128330101404,3.07126871730598e-07,0.000221515256235694,0.000204562661144774,182,"tags=25%, list=10%, signal=28%","5743/760/2099/367/4843/10499/5468/890/2100/2932/4129/6256/5292/1432/836/7124/148/596/5241/2908/5970/8648/150/3569/5139/842/4306/590/207/7157/5594/3553/3725/3576/7422/1509/5319/4048/5595/1026/7040/4790/3586/6714/7498/847/2353/3091/595/2155/4780/7412/7442/4609/5925/4846/5578/1728/3692/5465/142/6347/5563/4842/8644/6772/3791/5447/2720/2641/2475/4313/5562/5315/2875/1906/3630/2730/5467/6774/1545/1645/6517/2805/3565/3643/23411/3037/7099/5579/1499"
"GO:0042127","GO:0042127","regulation of cell population proliferation",334,0.835516491171191,1.23759809135585,9.8398467708729e-07,0.000567759158679366,0.00052430846688588,193,"tags=27%, list=10%, signal=29%","5743/1803/2099/367/4843/5742/1017/5468/1128/890/5292/1432/6331/836/7124/148/146/596/5241/581/6532/5970/150/3569/590/1111/207/7157/5594/3162/3553/3725/3576/7422/240/1139/4318/5319/5595/1026/5328/7040/3586/6714/7498/2950/3091/595/7412/4609/5925/4846/5578/4792/3558/598/891/3458/1019/6347/8644/4988/6772/3791/4313/5728/983/5562/1906/3630/5467/6774/1545/196/5340/2152/3565/3643/578/1991/23411/1029/3037/7099/1869/1499/2064/4057/572/994"
"GO:0035556","GO:0035556","intracellular signal transduction",496,0.809469929266554,1.19664200638749,2.56238200885536e-06,0.00123207868259129,0.00113778752007244,190,"tags=22%, list=10%, signal=27%","5743/2099/367/4843/10499/1017/5468/890/2100/2932/154/6256/1131/5292/1432/147/836/7124/148/146/808/596/5241/581/2908/5970/8648/150/3569/153/5139/842/4306/1111/207/7157/5594/3162/3553/3725/3576/152/7422/3383/1139/4318/5319/841/5595/1026/7040/4790/151/3586/6714/7498/6647/847/2353/2950/3091/595/2155/4780/7442/4609/5925/4846/5578/4792/598/891/5465/142/5563/4842/8644/4988/6772/3791/2641/2475/4313/5728/983/5562/1906/3630/5467/6774/8856/5599/3156/1545/196/2152/3643/578/1991/162514/23411/1029/2902/7099/5579/1869/1499/5601/2064/4057/572"
"GO:0007267","GO:0007267","cell-cell signaling",281,0.840238481917619,1.24458158038044,5.21919826397773e-06,0.00215105528451082,0.00198643470768836,157,"tags=20%, list=9%, signal=21%","5743/760/43/367/4843/2554/5468/1128/6530/1129/2100/2932/4129/154/1131/147/6331/6531/7124/148/146/5241/2908/6532/5970/150/3569/590/207/5594/3553/1135/2891/152/240/1139/5595/151/3091/7442/5578/3558/1728/18/3458/6347/4988/5327/2641/5728/1588/1906/3630/5467/3156"
"GO:1901698","GO:1901698","response to nitrogen compound",298,0.831979635178062,1.2315023693726,7.29438803645544e-06,0.00233825660946377,0.00215930948775073,182,"tags=28%, list=10%, signal=30%","5743/760/43/10499/1800/1017/5468/1128/890/1129/2932/154/1131/1432/836/6531/7124/6532/5970/8648/150/3569/5139/590/1111/207/7157/5594/3553/1135/1509/3383/1139/4318/5319/4048/5595/7040/4790/3586/6714/847/2353/2155/4780/7412/7442/5925/5578/4792/3558/1728/18/598/3692/7299/5465/142/4988/6772/3791/2641/2475/4313/983/5562/5315/2875/1906/3630/2730/6774/1545/196/6517/2805/3643/23411/2902/7099/5579/1499"
"GO:0008283","GO:0008283","cell population proliferation",379,0.821605011926922,1.2157787991451,6.74000452423261e-06,0.00233825660946377,0.00215930948775073,193,"tags=25%, list=10%, signal=28%","5743/1803/2099/367/4843/5742/1017/5468/1128/890/5292/1432/6331/836/7124/148/146/596/5241/581/6532/5970/150/3569/590/1111/207/7157/5594/3162/3553/3725/3576/7422/240/1139/4318/5319/5595/1026/5328/7040/3586/6714/7498/2353/2950/3091/595/7412/4609/5925/4846/5578/4792/3558/598/891/7299/3458/1019/6347/8644/4988/6772/3791/4313/5728/983/5562/1906/3630/5467/6774/1545/196/5340/2152/6517/3565/3643/578/1991/23411/1029/3037/7099/1869/1499/2064/4057/572/994"
"GO:1901699","GO:1901699","cellular response to nitrogen compound",191,0.858038178455418,1.27613228244017,1.38244512953892e-05,0.00398835419871978,0.00368312486617158,194,"tags=34%, list=11%, signal=34%","5743/760/43/10499/1800/1017/5468/1128/890/1129/2932/154/1131/836/7124/6532/5970/8648/5139/1111/207/7157/5594/3553/1135/1509/3383/1139/5319/5595/7040/4790/6714/2353/4780/7412/7442/5925/5578/598/142/4988/6772/3791/2641/2475/5562/5315/2875/1906/3630/2730/6774/1545/196/6517/2805/3643/23411/7099/5579/1499/2064/5313/4314"
