"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",228,0.849836300868893,1.56136183448184,1.90244962490483e-09,5.49807941597496e-07,3.20412568405024e-07,271,"tags=36%, list=9%, signal=36%","5743/2099/367/4843/1017/5468/890/2932/2100/6256/5292/836/808/596/581/5970/3725/842/3162/207/8648/3576/3569/7422/2353/4792/5594/7157/4790/841/1026/7040/5595/595/3565/6774/3558/2950/1728/4780/5578/4318/332/4609/5733/3091/1019/3458/4313/5579/598/6772/4312/5894/2475/5728/1956/5599/5925/2944/7296/5291/1499/572/5293/5290/2939/4088/2064/3567/3480/1029/3845/356/3551/331/5467/5582/2033/5366/4193/54205/7042"
"hsa04082","hsa04082","Neuroactive ligand signaling",73,0.915471720578165,1.78208508091623,5.23631292612846e-07,7.56647217825562e-05,4.40952667463449e-05,136,"tags=32%, list=5%, signal=31%","43/2554/1128/6530/1129/1131/154/147/6531/146/148/6532/153/150/152/2891/151/1812/4988/1139/5578/4985/5579"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",146,0.839876545858328,1.56364102668384,1.38244512953892e-05,0.000998816606091869,0.000582082159805861,239,"tags=27%, list=8%, signal=26%","5743/4843/1128/1131/2932/1432/6531/836/808/7124/596/581/5970/842/2891/847/3569/5594/3553/4790/841/5595/6647/1139/5578/3552/5579/598/5894/2475/5599/1499/572/351/1649/3845/3309/5709/4728/356"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",162,0.838747636510695,1.55858152924936,1.07678180767464e-05,0.000998816606091869,0.000582082159805861,133,"tags=14%, list=5%, signal=14%","5644/2554/1128/1129/1131/154/147/146/148/5646/2908/153/150/152/1135/2891/151/1812/4988/1139/5733/7442/4985"
"hsa05417","hsa05417","Lipid and atherosclerosis",116,0.854043183460523,1.60213519656728,4.06914433020287e-05,0.00235196542285726,0.00137065914280518,280,"tags=51%, list=10%, signal=48%","5468/2932/6256/1432/836/808/7124/596/581/5970/3725/842/207/3576/3383/3569/2353/4792/5594/7157/3553/4790/4846/841/1543/5595/6774/6347/4780/5578/4318/6714/7412/598/6401/4312/653361/7099/5599/4314/959/5291/572/5293/5290/1649/3845/6648/3309/3949/356/3551/1555/338/54205/834/2919/6348/6403"
"hsa05140","hsa05140","Leishmaniasis",33,0.932729490982346,1.90357363429853,5.64065449021865e-05,0.00254696792631965,0.00148430110439317,151,"tags=64%, list=5%, signal=61%","5743/4843/1432/7124/5970/3725/2353/4792/5594/3553/4790/7040/5595/3565/3586/3458/3552/5579/6772/653361/7099"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation",84,0.870693971970892,1.67422553298938,7.05043024586755e-05,0.00254696792631965,0.00148430110439317,199,"tags=46%, list=7%, signal=45%","2099/367/154/2100/6256/5241/596/153/5970/3725/207/7422/2353/5594/4790/1543/5595/595/6774/1576/5465/1139/5578/332/4609/6714/1544/5579/5894/2475/1956/5925/2944/196/5291/572/5293/5290/2939"
"hsa05010","hsa05010","Alzheimer disease",117,0.842299483026265,1.57930741861053,6.26079996471421e-05,0.00254696792631965,0.00148430110439317,234,"tags=30%, list=8%, signal=29%","5743/4843/1128/1131/2932/836/808/7124/5970/842/207/3569/5594/3553/4790/841/5595/1139/3552/3630/5894/2475/5599/4023/5291/1499/572/5293/3643/5290/351/1649/3845/5709/4728"
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",93,0.860462295601978,1.63865241034517,9.19372064902009e-05,0.00295220585285201,0.00172046234367627,201,"tags=43%, list=7%, signal=41%","5743/2932/1432/836/808/581/5970/3725/842/207/3576/3383/3569/7422/2353/4792/5594/7157/4790/841/1026/5595/595/6774/4609/6714/3091/1019/6772/5894/2475/5599/5925/1232/942/5291/1499/5293/5290/5294"
"hsa05161","hsa05161","Hepatitis B",87,0.857673420773037,1.64623922197754,0.000143972156180359,0.00368573950036702,0.00214794507397095,271,"tags=54%, list=9%, signal=50%","1017/890/1432/836/7124/596/581/5970/3725/842/207/3576/3569/2353/4792/5594/7157/4790/841/1026/7040/5595/6774/5578/4318/332/4609/6714/5579/6772/5894/7099/5599/5925/5291/572/5293/5290/4088/3845/5111/356/3551/5582/2033/54205/7042"
"hsa04020","hsa04020","Calcium signaling pathway",90,0.860641346306514,1.64336024537646,0.00015304108652043,0.00368573950036702,0.00214794507397095,112,"tags=19%, list=4%, signal=19%","4843/1128/1129/1131/154/147/146/148/808/153/7422/4846/3791/1812/1139/5578/5733"
"hsa05163","hsa05163","Human cytomegalovirus infection",98,0.855243956234608,1.62245412766541,0.000134903237690998,0.00368573950036702,0.00214794507397095,267,"tags=47%, list=9%, signal=44%","5743/2932/1432/836/808/7124/581/5970/842/207/3576/3569/7422/4792/5594/7157/3553/4790/841/1026/5595/595/6774/6347/5578/4609/5733/6714/1019/5579/5894/2475/1956/5925/1232/5291/1499/5293/5290/1029/3845/356/3551/5582/4193/54205"
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",43,0.901055141416842,1.80994230978657,0.000266581971177441,0.00481513685439252,0.00280612601239411,104,"tags=30%, list=4%, signal=30%","154/147/1432/6331/146/148/808/596/153/207/5594/5595/5578"
"hsa04725","hsa04725","Cholinergic synapse",45,0.897873647016916,1.79808330534041,0.000257468283464926,0.00481513685439252,0.00280612601239411,201,"tags=36%, list=7%, signal=34%","43/1128/1129/1131/596/207/2353/5594/5595/1139/5578/5579/5291/5293/5290/5294"
"hsa04657","hsa04657","IL-17 signaling pathway",52,0.885864060686191,1.75838552525139,0.000239240934292754,0.00481513685439252,0.00280612601239411,173,"tags=44%, list=6%, signal=42%","5743/2932/1432/836/7124/5970/3725/3576/3569/2353/4792/5594/3553/4790/841/5595/3565/6347/4318/3458/4312/5599/4314"
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",69,0.878353272162253,1.71502771840378,0.000266581971177441,0.00481513685439252,0.00280612601239411,200,"tags=55%, list=7%, signal=53%","1432/5292/836/7124/596/581/5970/3725/207/3576/3383/3569/7422/5594/3553/4790/4846/7040/5595/595/6774/6347/5578/7412/1019/4313/3552/5579/6772/6401/2152/5599/1277/5054/5291/5293/5290/4088"
"hsa04726","hsa04726","Serotonergic synapse",46,0.902151170407164,1.80703358725978,0.000284809368655593,0.00484175926714509,0.00282164080401826,158,"tags=28%, list=5%, signal=27%","5743/5742/4129/836/6532/4128/5594/5595/240/5578/5579/5894/3359"
