"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",161,0.786772480592927,1.63367703938208,2.39041273669697e-06,0.000599993596910939,0.000452920308005741,206,"tags=40%, list=11%, signal=39%","5743/2099/367/4843/5468/2100/6256/1017/2932/5292/890/836/596/581/3569/7157/808/5970/7422/8648/842/2353/595/3725/841/207/3458/4792/4318/5579/3576/4313/3558/3565/4609/7040/3162/5595/5728/5594/1956/862/598/5599/4780/2950/5578/1026/2335/6772/1906/4312/6257/3091/4914/578/3480/2475/355/1950/185/650/183/1019"
"hsa04082","hsa04082","Neuroactive ligand signaling",50,0.878666286782934,1.87130697433276,1.43815723701568e-05,0.00180488733245467,0.00136246475085696,51,"tags=32%, list=3%, signal=32%","43/2554/1129/1128/1131/6530/146/154/2891/148/1139/147/6531/6532/150/153"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",68,0.829978231468704,1.76308812558386,0.000100961609401092,0.00844712131989139,0.00637652269901635,51,"tags=22%, list=3%, signal=22%","5644/2554/1129/1128/1131/2908/146/154/1135/2891/148/1139/147/150/153"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",83,0.80982956221213,1.70036649027053,0.000257468283464926,0.0161561347874241,0.0121958660588649,144,"tags=36%, list=8%, signal=35%","5743/4843/1128/1131/2932/7124/836/2891/1139/6531/596/581/3569/808/3553/5970/842/841/5579/6647/5595/847/5594/598/5599/3552/5578/627/4842/5709"
"hsa04657","hsa04657","IL-17 signaling pathway",35,0.874861873788126,1.88789054976984,0.000339491694894532,0.0170424830837055,0.0128649484381086,119,"tags=54%, list=7%, signal=52%","5743/2932/7124/836/3569/3553/5970/2353/3725/841/3458/4792/4318/3576/3565/5595/5594/5599/6347"
"hsa04915","hsa04915","Estrogen signaling pathway",34,0.869946940187242,1.8806902020163,0.000590749021584325,0.0247130007362776,0.0186552322605576,102,"tags=53%, list=6%, signal=51%","2099/10499/2100/596/5241/808/4846/8648/2353/3725/207/4318/1509/4313/5595/5594/1956/6714"
"hsa05222","hsa05222","Small cell lung cancer",46,0.837658075322811,1.79578023521798,0.0010584774006314,0.0341401340076778,0.0257715417126526,131,"tags=39%, list=7%, signal=37%","5743/4843/6256/1017/836/596/581/7157/5970/842/595/207/4792/4609/5728/598/1026/2335"
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation",68,0.800855102958187,1.70122307887549,0.00111370095120655,0.0341401340076778,0.0257715417126526,102,"tags=35%, list=6%, signal=35%","2099/367/2100/6256/154/1139/596/5241/5970/7422/153/2353/595/3725/207/1576/5579/1543/4609/5595/196/5594/1956/6714"
"hsa05010","hsa05010","Alzheimer disease",73,0.794198510445471,1.67751360581561,0.001224148231351,0.0341401340076778,0.0257715417126526,144,"tags=30%, list=8%, signal=29%","5743/4843/1128/1131/2932/7124/836/1139/3569/808/3553/5970/842/841/207/5595/5594/5599/3552/3630/4842/5709"
"hsa05417","hsa05417","Lipid and atherosclerosis",82,0.768839248806251,1.61321564266451,0.00190542407897015,0.0478261443821506,0.0361027720225922,170,"tags=48%, list=9%, signal=45%","5468/6256/2932/7124/836/596/581/3569/7157/808/3553/5970/4846/842/2353/3725/841/207/4792/4318/3576/1543/8795/5595/8797/3383/5594/6714/598/6401/5599/4780/6347/5578/834/7099/4312/6257/7412"
