"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",365,0.861699537403501,1.368277853807,1e-10,3.132e-07,2.66315789473684e-07,184,"tags=25%, list=7%, signal=28%","5743/43/2099/760/4843/367/1128/10499/1129/1017/1800/1131/5468/154/2932/890/2100/6256/5292/1432/2908/6532/7124/150/1135/5139/5970/842/8648/1509/847/207/7157/3576/3569/1139/3553/3383/3586/6647/5594/4780/4846/4792/3791/4790/5595/1812/2353/2950/7442/7040/4988/5578/5579/4353/4313/1728/8989/2805/6347/4318/1019/5465/5319/6714/3091/2875/5315/6517/8644/5925/196/6772/5054/7412/6774/1277/1956/142/3630/3643/5599/3552/5894/1545/1645/4023/983/2475/4314/3359/6257"
"GO:0007267","GO:0007267","cell-cell signaling",290,0.867157467357878,1.38282298934339,4.46631104581949e-09,6.99424309775332e-06,5.94724576101227e-06,120,"tags=17%, list=5%, signal=18%","5743/43/760/4843/2554/367/1128/1129/6530/1131/5468/4129/154/2932/147/2100/146/6331/6531/148/2908/6532/7124/590/150/1135/5241/152/2891/5970/207/3569/1139/3553/240/5594/18/5595/1812/151/7442/4988/5578/5579/3156/1728/3558/6347/3458"
"GO:0009725","GO:0009725","response to hormone",307,0.854389854050403,1.3596089822605,2.79144126703997e-08,2.91426468278973e-05,2.47801628267057e-05,192,"tags=25%, list=8%, signal=26%","5743/2099/760/4843/367/10499/5468/4129/2932/890/2100/6256/5292/1432/148/2908/836/7124/590/150/5241/596/5139/5970/842/3725/8648/1509/847/207/4306/4048/3569/3553/595/3586/5594/4780/4846/3791/4790/5595/2353/7442/7040/5447/5578/5579/4313/1728/3692/2155/1026/2805/5465/5319/6714/2875/5315/6517/8644/5925/6772/6774/1277/1956/142/3630/3643/5894/1545/1645/2475/6257/2720/2641/5467"
"GO:0042127","GO:0042127","regulation of cell population proliferation",391,0.832067999849633,1.3200027938575,3.73059386855808e-08,2.92105499908098e-05,2.48379012827683e-05,249,"tags=26%, list=10%, signal=28%","5743/1803/2099/4843/367/5742/1128/1017/5468/890/146/6331/5292/1432/148/836/6532/7124/590/150/5241/596/581/5970/3162/1111/3725/207/7157/3576/3569/1139/3553/595/240/7422/3586/5594/5328/4846/4792/3791/5595/2950/7498/4609/7040/4988/5578/3565/4313/1026/3558/6347/4318/1019/3458/598/5319/6714/3037/3091/2152/8644/5925/196/6772/7412/6774/994/1956/332/3630/5728/3643/3552/891/5894/1545/4860/983/5293/1401/5467/4953/3567/942/22941/3627/2064/3611/959/8837/356/5340/331/1232/1499/1906/1869/5290/4851"
"GO:1901698","GO:1901698","response to nitrogen compound",339,0.844607866550825,1.34429415686862,7.39316627683579e-08,4.63107935580994e-05,3.93783382745149e-05,189,"tags=25%, list=8%, signal=27%","5743/43/760/1128/10499/1129/1017/1800/1131/5468/154/2932/890/6531/1432/836/6532/7124/590/150/1135/5139/5970/1111/8648/1509/847/207/7157/4048/3569/1139/3553/3383/3586/5594/4780/18/4792/3791/4790/5595/1812/2353/7442/7040/4988/5578/5579/4313/1728/3692/2155/3558/2805/4318/5465/598/5319/6714/2875/5315/6517/5925/196/6772/7412/6774/1277/1956/142/2944/3630/3643/2902/5894/1545/4023/983/2475/4314/3359/2641/7299"
"GO:0008283","GO:0008283","cell population proliferation",449,0.818437612566689,1.29745564865195,1.31732123082684e-07,6.87641682491612e-05,5.84705739296827e-05,255,"tags=24%, list=10%, signal=27%","5743/1803/2099/4843/367/5742/1128/1017/5468/890/146/6331/5292/1432/148/836/6532/7124/590/150/5241/596/581/5970/3162/1111/3725/207/7157/3576/3569/1139/3553/595/240/7422/3586/5594/5328/4846/4792/3791/5595/2353/2950/7498/4609/7040/4988/5578/3565/4313/1026/3558/6347/4318/1019/3458/598/5319/6714/3037/3091/2152/6517/8644/5925/196/6772/7412/6774/994/1956/332/3630/5728/3643/3552/891/5894/1545/4860/983/5293/7299/1401/5467/4953/3567/942/22941/3627/2064/1649/3611/959/8837/356/7296/5340/331/1232/1499/1906/1869/5290/4851/5294/2919/5291"
"GO:0009719","GO:0009719","response to endogenous stimulus",404,0.830192099792409,1.31692781825037,1.94962412048976e-07,8.72317535053417e-05,7.41736695464524e-05,199,"tags=23%, list=8%, signal=25%","5743/2099/760/4843/367/10499/5468/4129/2932/890/2100/6256/5292/1432/148/2908/836/7124/590/150/5241/596/5139/5970/842/3725/8648/1509/847/207/4306/7157/4048/3576/3569/3553/595/7422/3586/5594/4780/4846/3791/4790/5595/2353/7498/4609/7442/7040/5447/5578/5579/3565/4313/1728/3692/2155/1026/2805/6347/5465/5319/6714/3037/3091/2875/5315/4985/6517/8644/5925/6772/7412/6774/1277/1956/142/3630/3643/5894/1545/1645/4023/2475/6257/2720/5293/2641/5467/948/4199"
"GO:0099536","GO:0099536","synaptic signaling",176,0.880202202347647,1.42562846218181,8.13113268842152e-07,0.000212222563167802,0.000180454085102688,115,"tags=19%, list=5%, signal=19%","5743/43/760/2554/1128/1129/6530/1131/154/2932/6531/148/2908/6532/7124/590/150/1135/2891/5970/207/1139/3553/5594/18/5595/1812/7442/4988/5579/3156/1728/6347"
"GO:0007268","GO:0007268","chemical synaptic transmission",169,0.879960638684092,1.42422483715332,7.62028100848861e-07,0.000212222563167802,0.000180454085102688,115,"tags=18%, list=5%, signal=19%","5743/43/760/2554/1128/1129/6530/1131/154/2932/6531/148/2908/6532/7124/590/150/1135/2891/207/1139/3553/5594/18/5595/1812/7442/5579/3156/1728/6347"
"GO:0098916","GO:0098916","anterograde trans-synaptic signaling",169,0.879960638684092,1.42422483715332,7.62028100848861e-07,0.000212222563167802,0.000180454085102688,115,"tags=18%, list=5%, signal=19%","5743/43/760/2554/1128/1129/6530/1131/154/2932/6531/148/2908/6532/7124/590/150/1135/2891/207/1139/3553/5594/18/5595/1812/7442/5579/3156/1728/6347"
