"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901700","GO:1901700","response to oxygen-containing compound",381,0.754658774281138,1.54611973145183,1e-10,1.3825e-07,1.15578947368421e-07,207,"tags=30%, list=11%, signal=34%","5743/43/2099/367/10499/760/4843/1129/1128/1131/1800/5468/2908/2100/6256/1017/2932/5292/154/4129/890/7124/836/1135/1139/6531/596/3569/6532/7157/3553/5970/4846/150/8648/842/2353/841/207/4792/5139/4318/3586/590/5579/3576/1509/4313/1543/3558/3791/6647/7040/3162/6517/5595/3692/847/1636/3383/196/5594/1956/6714/4353/598/6401/5599/3359/4780/7299/5563/3552/6347/2950/5562/5578/5972/834/1026/1588/1545/1277/50506/3630/4842/7099/4057/6772/1906/983/1385/6257/7412/3091/4914/4988/6528/8877/578/3480/728/2475/3643/6720/3627/2752/6915/351/185/183/51109/1019/3248"
"GO:0070887","GO:0070887","cellular response to chemical stimulus",446,0.746710921970946,1.53031339469703,1e-10,1.3825e-07,1.15578947368421e-07,206,"tags=27%, list=11%, signal=32%","5743/43/1803/2099/367/10499/760/5742/4843/1129/1128/1131/1800/5468/2908/2100/6256/1017/2932/5292/154/890/6331/7124/836/1135/1139/596/5241/3569/6532/7157/3553/4306/5970/7422/4846/150/3757/8648/842/2353/207/231/1576/4792/5139/4318/3586/590/5579/3576/1509/4313/1543/5447/4609/3791/240/6647/7040/3162/6517/5595/847/1636/3383/196/5594/1956/6714/4353/10891/598/5599/7018/3359/4780/5563/3552/6347/2950/5562/5578/5972/834/1588/1545/8856/1277/1181/50506/3630/4842/7099/4057/6772/1906/983/1385/6257/9429/7412/3091/4914/4988/6528/8877/3480/728/2475/355/3643/6720/3627/729230/6915/351/185/183/51109/1019"
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound",292,0.768815833540863,1.5796756318653,1.08972318586909e-09,1.00436153630934e-06,8.39660391638075e-07,206,"tags=32%, list=11%, signal=33%","5743/43/2099/367/10499/760/4843/1129/1128/1131/1800/5468/2908/2100/6256/1017/2932/5292/154/890/7124/1135/1139/3569/6532/7157/3553/5970/4846/150/8648/842/2353/207/4792/5139/4318/3586/5579/3576/1509/4313/3791/6647/7040/6517/5595/847/1636/3383/196/5594/1956/6714/4353/5599/3359/4780/5563/3552/6347/2950/5562/5578/834/1545/1277/3630/7099/4057/6772/1906/983/1385/6257/7412/3091/4914/4988/6528/8877/3480/2475/3643/6720/3627/6915/351/185/183/51109/1019"
"GO:0007267","GO:0007267","cell-cell signaling",229,0.780288891194403,1.6031899219653,4.56539971366731e-08,3.15583255207252e-05,2.63832046610879e-05,128,"tags=22%, list=7%, signal=24%","5743/43/367/2554/760/4843/1129/1128/1131/6530/5468/2908/2100/2932/146/154/4129/6331/7124/1135/2891/148/1139/147/6531/5241/3569/6532/3553/5970/150/207/3458/590/5579/3558/240/5327/5595/5728/3156/1636/5594/1956/3359/3552/6347/5578/5972/1588/627"
"GO:0042127","GO:0042127","regulation of cell population proliferation",316,0.74282410375892,1.52488969195778,5.92504744500702e-08,3.16538922095014e-05,2.64630997590425e-05,207,"tags=30%, list=11%, signal=32%","5743/1803/2099/367/5742/4843/1128/5468/1017/146/5292/890/6331/7124/836/148/1139/596/5241/581/3569/6532/7157/3553/5970/7422/4846/150/595/3725/207/3458/4792/5328/4318/8654/3586/590/3576/4313/3558/3565/4609/3791/240/7040/3162/5595/5728/1636/196/5594/1956/6714/2152/10891/598/7498/3552/6347/2950/5562/5578/1026/1545/2335/3630/3037/7099/4953/4057/6772/1906/983/891/7412/3091/4914/4988/8877/578/3480/728/3643/1950/3627/1401/729230/351/185/650/183/1019/3248"
"GO:0035556","GO:0035556","intracellular signal transduction",495,0.691541113280791,1.41858175638568,6.86883736915038e-08,3.16538922095014e-05,2.64630997590425e-05,202,"tags=23%, list=11%, signal=29%","5743/2099/367/10499/4843/1131/5468/2908/2100/6256/1017/2932/146/5292/154/890/7124/836/148/1139/147/596/5241/581/3569/7157/808/3553/4306/5970/7422/4846/150/153/8648/842/2353/595/3725/841/207/4792/5139/4318/8654/3586/5579/3576/4313/8795/4609/3791/6647/7040/3162/5595/8797/5728/3156/847/59/3383/196/5594/1956/6714/2152/598/6401/5599/7018/4780/5563/7498/3552/2950/5562/5578/5972/834/1026/1545/8856/2335/51191/3630/4842/7099/4057/6772/1906/983/1385/51422/6257/891/1116/3091/597/4914/4988/8877/578/3480/728/2475/355/9970/3643/1950/6720/729230/351/185/650/183"
"GO:0033993","GO:0033993","response to lipid",219,0.772387946662966,1.59286379405421,1.05391496073294e-07,3.64259358303321e-05,3.04525954443359e-05,161,"tags=31%, list=9%, signal=32%","5743/2099/367/10499/4843/5468/2908/2100/6256/2932/5292/4129/890/7124/836/596/5241/3569/6532/3553/4306/5970/4846/8648/842/2353/3725/841/207/4792/5139/4318/3586/590/5579/3576/4313/1543/7040/5595/847/1636/196/5594/1956/6714/4353/6401/5599/7299/5563/3552/6347/2950/5562/5578/5972/834/1026/1588/1545/1277/4842/7099/4057/1906/1385/6257"
"GO:0065008","GO:0065008","regulation of biological quality",489,0.693526469081973,1.42229104892069,9.80508576844266e-08,3.64259358303321e-05,3.04525954443359e-05,270,"tags=28%, list=15%, signal=32%","5743/1803/2099/367/2554/760/5742/4843/1128/1131/5468/2908/2932/146/5292/154/6331/7124/836/1135/2891/148/1139/147/6531/596/581/3569/6532/7157/808/3553/7422/4846/150/153/3757/8648/595/207/231/1576/3458/5139/5328/3586/590/5579/4313/1543/3558/3791/240/6647/7040/5327/5728/3156/1636/59/5594/1956/6714/124/2152/10891/598/7018/3359/4780/7498/6347/5578/5972/1588/627/1545/2335/1180/1185/1181/50506/3630/3037/4842/7099/4057/57665/6772/1906/1385/1182/3091/4914/4988/6528/578/3480/728/2475/6720/1401/729230/6915/351/185/650/183/51109/50700/3292/51170/100/145226/5733/7923/1140/157506/10901/41/5881/10202/6339/5465/6338/112724/6337/3783/1544/6340/1137/9474/462/195814/40"
"GO:0008283","GO:0008283","cell population proliferation",361,0.719998324290175,1.47669575648461,3.6219709032596e-07,0.000111274994972364,9.30274631995096e-05,207,"tags=27%, list=11%, signal=30%","5743/1803/2099/367/5742/4843/1128/5468/1017/146/5292/890/6331/7124/836/148/1139/596/5241/581/3569/6532/7157/3553/5970/7422/4846/150/2353/595/3725/207/3458/4792/5328/4318/8654/3586/590/3576/4313/3558/3565/4609/3791/240/7040/3162/6517/5595/5728/1636/196/5594/1956/6714/2152/10891/598/7299/7498/3552/6347/2950/5562/5578/1026/1545/2335/3630/3037/7099/4953/4057/6772/1906/983/891/7412/3091/4914/4988/8877/578/3480/728/3643/1950/3627/2752/1401/729230/351/185/650/183/1019/3248"
"GO:0009725","GO:0009725","response to hormone",222,0.770011414217018,1.58542504941152,5.83230356384081e-07,0.000161263193540198,0.000134818301328362,156,"tags=27%, list=9%, signal=29%","5743/2099/367/10499/760/4843/5468/2908/2100/6256/2932/5292/4129/890/7124/836/148/596/5241/3569/3553/4306/5970/4846/150/8648/842/2353/595/3725/207/5139/3586/590/5579/1509/4313/5447/3791/7040/6517/5595/3692/847/1636/5594/1956/6714/4780/5563/5562/5578/5972/1026/1545/1277/3630/4842/6772/1906/1385"
